Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 4257 Sel Score: 0.67 CDE: 15.077 p value: 1.040e-01 RTime: 23.279,,(no adduct),415.2344,2,13,33
Overall rank: 5119 Sel Score: 0.65 CDE: 14.2569 p value: 6.245e-02 RTime: 23.932,,(no adduct),384.7258,2,13,33
Overall rank: 5242 Sel Score: 0.64 CDE: 14.0845 p value: 1.911e-02 RTime: 23.953,,(no adduct),427.4699,4,13,33
Overall rank: 5340 Sel Score: 0.59 CDE: 14.4311 p value: 1.091e-01 RTime: 23.343,,(no adduct),428.2397,2,13,33
Overall rank: 2749 Sel Score: 0.8 CDE: 14.7297 p value: 1.149e-01 RTime: 24.655,,(no adduct),423.2147,4,14,34
Overall rank: 3833 Sel Score: 0.75 CDE: 13.8102 p value: 8.238e-02 RTime: 24.516,,(no adduct),342.589,5,14,34
Overall rank: 3147 Sel Score: 0.75 CDE: 14.9934 p value: 5.604e-02 RTime: 24.702,,(no adduct),441.9745,2,14,34
Overall rank: 4097 Sel Score: 0.68 CDE: 15.0033 p value: 8.015e-02 RTime: 24.906,,(no adduct),353.3897,5,14,34
Overall rank: 4722 Sel Score: 0.67 CDE: 14.5014 p value: 8.556e-03 RTime: 24.745,,(no adduct),364.7988,5,14,34
Overall rank: 4605 Sel Score: 0.67 CDE: 14.6879 p value: 8.621e-02 RTime: 24.054,,(no adduct),397.9628,4,14,34
Overall rank: 4779 Sel Score: 0.67 CDE: 14.549 p value: 6.183e-02 RTime: 24.867,,(no adduct),419.4705,4,14,34
Overall rank: 5088 Sel Score: 0.62 CDE: 14.6771 p value: 1.157e-01 RTime: 24.411,,(no adduct),392.4738,2,14,34
Overall rank: 5224 Sel Score: 0.58 CDE: 14.6232 p value: 9.159e-02 RTime: 24.912,,(no adduct),396.9645,4,14,34
Overall rank: 5338 Sel Score: 0.55 CDE: 14.492 p value: 1.044e-01 RTime: 24.247,,(no adduct),434.733,2,14,34
Overall rank: 4328 Sel Score: 0.72 CDE: 13.6822 p value: 3.774e-02 RTime: 25.157,,(no adduct),365.4017,5,15,35
Overall rank: 4428 Sel Score: 0.7 CDE: 14.3009 p value: 6.645e-02 RTime: 25.131,,(no adduct),342.7827,5,15,35
Overall rank: 4669 Sel Score: 0.68 CDE: 14.3595 p value: 5.186e-02 RTime: 25.557,,(no adduct),332.7872,5,15,35
Overall rank: 4455 Sel Score: 0.68 CDE: 14.7797 p value: 1.244e-01 RTime: 25.017,,(no adduct),407.2138,2,15,35
Overall rank: 4679 Sel Score: 0.68 CDE: 14.5353 p value: 2.820e-02 RTime: 25.901,,(no adduct),386.2164,4,15,35
Overall rank: 5049 Sel Score: 0.67 CDE: 13.8538 p value: 8.921e-02 RTime: 25.229,,(no adduct),431.9608,2,15,35
Overall rank: 4368 Sel Score: 0.67 CDE: 14.9692 p value: 1.596e-02 RTime: 25.167,,(no adduct),390.7131,2,15,35
Overall rank: 4832 Sel Score: 0.61 CDE: 14.9485 p value: 6.094e-02 RTime: 25.85,,(no adduct),404.96,2,15,35
Overall rank: 5511 Sel Score: 0.58 CDE: 14.038 p value: 1.050e-01 RTime: 25.147,,(no adduct),374.4562,4,15,35
Overall rank: 5605 Sel Score: 0.57 CDE: 13.6087 p value: 1.323e-01 RTime: 25.072,,(no adduct),404.2186,2,15,35
Overall rank: 4698 Sel Score: 0.69 CDE: 13.979 p value: 8.722e-02 RTime: 26.886,,(no adduct),450.9961,2,16,36
Overall rank: 4970 Sel Score: 0.68 CDE: 12.9672 p value: 2.236e-02 RTime: 26.791,,(no adduct),410.9667,2,16,36
Overall rank: 4107 Sel Score: 0.68 CDE: 15.0598 p value: 3.695e-02 RTime: 26.016,,(no adduct),431.2156,2,16,36
Overall rank: 4804 Sel Score: 0.67 CDE: 14.3424 p value: 9.022e-02 RTime: 26.566,,(no adduct),394.236,4,16,36
Overall rank: 4885 Sel Score: 0.66 CDE: 14.484 p value: 8.013e-02 RTime: 26.1,,(no adduct),401.7127,2,16,36
