Compound,m/z,z,p value,specificity
"Sel Score: 0.91 RTime: 7172.08 Areas: [5271345.991147893, 9506506.053606905, 3222273.5224845354, 7184523.594851748, 36936368.534437016, 5821032.538619301]",534.6376,3.0,0.011975572231739772,WDR5
"Sel Score: 0.91 RTime: 7486.088 Areas: [7382569.825212629, 14025650.048320033, 2340135.985506091, 30194587.76274976, 20693571.9853624, 16292331.009580467]",474.2691,4.0,0.01567127906314487,WDR5
"Sel Score: 0.91 RTime: 2304.844 Areas: [1877814.8706578887, 6045452.278201683, 4606888.768280847, 2687172.596854699, 9730253.002441095, 5848179.357033789]",351.1929,5.0,0.011608945733923681,WDR5
"Sel Score: 0.91 RTime: 2118.474 Areas: [1649263.762980699, 1209056.2252177522, 2288346.4249068745, 7635392.1713883355, 6090477.516632375, 4601777.2685678]",391.4635,4.0,0.06343291715518355,WDR5
"Sel Score: 0.9 RTime: 7562.977 Areas: [3129802.6172010913, 4961627.853045663, 1349346.3885364216, 7035596.494292223, 6556817.657631025, 10322323.77328117]",496.032,4.0,0.07228544067999783,WDR5
"Sel Score: 0.9 RTime: 7335.593 Areas: [470919.9569023096, 11396412.169034984, 5055941.366840741, 16421257.669739189, 36125725.2579797, 3447971.4287552075]",676.874,2.0,0.02491369982489945,WDR5
"Sel Score: 0.9 RTime: 2108.512 Areas: [5961433.413443736, 3504355.5834381324, 2003724.8123884923, 7728623.606085644, 8894821.040767457, 5735534.317129401]",411.9624,2.0,0.12455947201231066,WDR5
"Sel Score: 0.9 RTime: 4989.478 Areas: [4343394.471499351, 3588881.9142189845, 2713245.610402155, 7837052.609801273, 14527742.877804989, 5856445.475842115]",567.2746,3.0,0.06520023233000606,WDR5
"Sel Score: 0.9 RTime: 2047.843 Areas: [5115069.424851639, 6390188.072549861, 5239515.205071535, 45398335.47482834, 51998955.33708081, 5471543.110551497]",398.9885,4.0,0.043762097538983365,WDR5
"Sel Score: 0.9 RTime: 1276.855 Areas: [7061163.798243359, 4190089.467739041, 1096264.824154413, 1768485.9886375796, 16984766.829762165, 5260183.576036497]",342.7887,5.0,0.02776183921155943,WDR5
"Sel Score: 0.9 RTime: 2117.283 Areas: [4568842.329565523, 2204453.70497731, 5318690.280749915, 14249245.889345042, 2725897.9858287084, 8108692.994057569]",414.2252,2.0,0.09099651081081342,WDR5
"Sel Score: 0.89 RTime: 1270.697 Areas: [1776777.4138275036, 4665759.137001472, 2034220.5706991414, 4483705.8489108635, 8732044.31021449, 8994155.211735923]",337.3896,5.0,0.008236928317083574,WDR5
"Sel Score: 0.89 RTime: 2467.227 Areas: [1912332.7329472527, 1627930.5623583298, 4988731.598224705, 16422274.89044925, 6202916.140070303, 9457853.995070957]",398.9653,4.0,0.012644050497401593,WDR5
"Sel Score: 0.89 RTime: 2064.67 Areas: [3818887.70977929, 3805751.8876433587, 4855335.394205643, 4210483.662556063, 11103852.378751595, 3380941.784342583]",412.2158,4.0,0.10989534724931806,WDR5
"Sel Score: 0.89 RTime: 1197.712 Areas: [2045662.5708932069, 1773097.9720739857, 1524960.4199938509, 1144963.066331518, 1556082.7527246212, 864740.5476206979]",341.7926,5.0,0.013033082868335136,WDR5
"Sel Score: 0.89 RTime: 1619.692 Areas: [2554458.665733444, 3728520.5742707755, 5516287.176245112, 4221696.708797596, 13830422.923093991, 2995434.788928308]",342.1823,5.0,0.10232069293475181,WDR5
"Sel Score: 0.89 RTime: 3093.491 Areas: [6930859.470800979, 4610841.098459216, 2580115.3683878114, 7632919.312053594, 8164138.851062293, 3301884.3352603153]",413.981,2.0,0.07526119196742752,WDR5
"Sel Score: 0.89 RTime: 2790.171 Areas: [5569190.986178307, 5074024.789829288, 9099909.950698076, 7770533.487841036, 10682881.806305278, 6950759.507240394]",401.9574,2.0,0.12071158232348468,WDR5
"Sel Score: 0.89 RTime: 2633.717 Areas: [2130349.9468179443, 5541024.973790712, 3045304.3631949164, 3774351.6835856508, 6888704.830427344, 7512724.782651471]",390.2205,4.0,0.11023546556044071,WDR5
"Sel Score: 0.88 RTime: 2003.534 Areas: [4015364.404222412, 3555606.4409850347, 2296718.3920865636, 4131125.2019827543, 14678779.91316373, 10546265.230161423]",339.1985,5.0,0.007831248303254898,WDR5
"Sel Score: 0.88 RTime: 3189.04 Areas: [5361352.255865553, 3334582.7994700605, 3279533.4461140465, 5798591.410656861, 7747241.610815279, 3802686.1966262073]",407.2334,2.0,0.060459922704945886,WDR5
"Sel Score: 0.88 RTime: 2331.237 Areas: [2602611.4216749608, 2082422.9599180217, 3039646.5196926054, 10946876.78086605, 12773136.622928891, 10123495.437375503]",398.2127,4.0,0.0054222612040371095,WDR5
"Sel Score: 0.88 RTime: 3109.145 Areas: [2570185.184039343, 2755734.0077974903, 5058944.194166204, 5772858.331989387, 9772951.722553674, 2332690.9735996616]",402.981,2.0,0.1313799246651055,WDR5
"Sel Score: 0.88 RTime: 3306.545 Areas: [5090841.530207236, 3062446.7793333093, 3507921.5287606507, 2754604.8115734253, 10296032.993360301, 4838173.753918454]",411.4825,4.0,0.0762431639203318,WDR5
