Compound,m/z,z,p value,specificity,areas
Sel Score: 0.81 RTime: 1326.595,450.76,2.0,0.0010228818348474744,12ca5,"[10687884.832180737, 11430233.485489396, 13308968.321765082, 3659254.157495182, 1603023.9665593826, 2854686.1703703296]"
Sel Score: 0.81 RTime: 2013.918,451.2837,2.0,0.10349698792612264,12ca5,"[38724432.245197676, 14690920.524893064, 45699322.28419806, 1792110.1889052447, 10842044.283955142, 10561547.667239645]"
Sel Score: 0.81 RTime: 1261.399,451.0213,2.0,0.2865882562638698,Unclear,"[22277.84269168627, 4324085.404216885, 2741472.4931411375, 35183.61356092182, 482881.6782237546, 1178644.3667903063]"
Sel Score: 0.81 RTime: 1317.652,452.5149,2.0,0.19270120453763628,Unclear,"[2108982.481198073, 5281262.318085474, 9963063.687842596, 845466.9285772423, 1530398.3947073175, 1817345.6023947988]"
Sel Score: 0.8 RTime: 1309.711,447.0173,4.0,0.0006800248180506368,12ca5,"[3796353.2788946857, 3100066.0630845623, 3515237.5061927317, 681538.320062736, 700643.9447790444, 1182029.904522177]"
Sel Score: 0.8 RTime: 1406.895,462.2591,2.0,0.04329578974688964,12ca5,"[4380263.262475864, 8365754.970489747, 6968051.878296499, 1112025.644850712, 1555231.9128848712, 2209253.4434855953]"
Sel Score: 0.8 RTime: 1487.093,449.9956,2.0,0.2757377763468864,Unclear,"[22934465.838215556, 8264034.484568005, 3460204.474949548, 3748381.2870494463, 4599596.298962988, 374881.5702627476]"
Sel Score: 0.8 RTime: 1327.576,456.7577,4.0,0.014706636403257797,12ca5,"[10041173.545706082, 8722246.947089313, 6587812.7720363755, 2330075.996528563, 1401307.3107485925, 2750109.3845952144]"
Sel Score: 0.8 RTime: 1485.98,460.0048,2.0,0.09728871715760057,12ca5,"[6923245.939540308, 7599834.549243677, 2857916.1052132063, 1254914.3777582094, 1937820.662815512, 1258082.957501911]"
Sel Score: 0.79 RTime: 1353.441,424.7547,2.0,0.0003585376509202528,12ca5,"[5340064.971371678, 6027725.111619102, 5151173.3977390975, 1636925.4964435678, 1651549.9036421243, 988478.9818976673]"
