Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.57 p value: 6.716e-02 RTime: 27.352,,(no adduct),390.7201,4,17,37
Sel Score: 0.72 p value: 1.320e-01 RTime: 28.063,,(no adduct),443.5105,2,18,38
Sel Score: 0.68 p value: 1.062e-01 RTime: 28.021,,(no adduct),408.9926,2,18,38
Sel Score: 0.64 p value: 3.897e-02 RTime: 28.118,,(no adduct),421.9914,2,18,38
Sel Score: 0.64 p value: 3.039e-02 RTime: 28.143,,(no adduct),443.2485,2,18,38
Sel Score: 0.6 p value: 6.433e-02 RTime: 28.712,,(no adduct),456.7565,2,18,38
Sel Score: 0.7 p value: 7.814e-02 RTime: 29.872,,(no adduct),437.502,4,19,39
Sel Score: 0.62 p value: 8.233e-02 RTime: 29.394,,(no adduct),455.5022,2,19,39
Sel Score: 0.87 p value: 3.386e-03 RTime: 30.99,,(no adduct),339.8547,3,20,40
Sel Score: 0.69 p value: 5.380e-02 RTime: 30.107,,(no adduct),423.9736,4,20,40
Sel Score: 0.68 p value: 9.940e-02 RTime: 30.954,,(no adduct),440.746,4,20,40
Sel Score: 0.66 p value: 1.229e-01 RTime: 30.563,,(no adduct),455.7531,2,20,40
Sel Score: 0.7 p value: 7.726e-02 RTime: 31.651,,(no adduct),449.2515,2,21,41
Sel Score: 0.65 p value: 4.815e-02 RTime: 31.659,,(no adduct),450.7266,2,21,41
Sel Score: 0.64 p value: 1.183e-01 RTime: 32.009,,(no adduct),449.995,2,22,42
Sel Score: 0.81 p value: 1.035e-01 RTime: 33.565,,(no adduct),451.2837,2,23,43
Sel Score: 0.59 p value: 6.398e-02 RTime: 33.792,,(no adduct),411.2123,2,23,43
Sel Score: 0.54 p value: 1.149e-01 RTime: 33.456,,(no adduct),457.2328,2,23,43
Sel Score: 0.63 p value: 7.619e-02 RTime: 34.043,,(no adduct),446.9931,4,24,44
Sel Score: 0.61 p value: 6.006e-02 RTime: 35.271,,(no adduct),418.9802,4,25,45
Sel Score: 0.65 p value: 7.770e-02 RTime: 36.883,,(no adduct),443.2227,2,26,46
Sel Score: 0.71 p value: 1.736e-02 RTime: 37.404,,(no adduct),458.9784,4,27,47
Sel Score: 0.63 p value: 1.040e-01 RTime: 37.028,,(no adduct),459.745,2,27,47
Sel Score: 0.62 p value: 1.105e-01 RTime: 37.785,,(no adduct),453.7474,2,27,47
Sel Score: 0.62 p value: 3.528e-02 RTime: 38.499,,(no adduct),462.2533,4,28,48
Sel Score: 0.64 p value: 1.016e-01 RTime: 39.296,,(no adduct),398.4553,2,29,49
Sel Score: 0.68 p value: 6.534e-02 RTime: 47.229,,(no adduct),452.2373,4,37,57
Sel Score: 0.59 p value: 9.738e-02 RTime: 49.556,,(no adduct),451.4763,4,39,59
Sel Score: 0.97 p value: 1.564e-02 RTime: 51.772,,(no adduct),876.0757,2,41,61
Sel Score: 0.97 p value: 3.394e-02 RTime: 52.651,,(no adduct),876.0752,2,42,62
Sel Score: 0.61 p value: 1.087e-01 RTime: 52.735,,(no adduct),462.7321,4,42,62
Sel Score: 0.59 p value: 7.600e-02 RTime: 52.584,,(no adduct),450.2236,2,42,62
Sel Score: 0.63 p value: 1.098e-01 RTime: 55.422,,(no adduct),464.2382,4,45,65
Sel Score: 0.6 p value: 9.217e-02 RTime: 55.287,,(no adduct),586.9619,3,45,65
Sel Score: 0.59 p value: 5.970e-02 RTime: 56.111,,(no adduct),473.2427,4,46,66
Sel Score: 0.59 p value: 1.247e-01 RTime: 56.93,,(no adduct),536.2713,3,46,66
Sel Score: 0.64 p value: 5.181e-02 RTime: 57.469,,(no adduct),399.1296,2,47,67
Sel Score: 0.63 p value: 7.143e-02 RTime: 57.903,,(no adduct),319.5052,5,47,67
Sel Score: 0.86 p value: 3.898e-02 RTime: 58.737,,(no adduct),399.3804,4,48,68
Sel Score: 0.61 p value: 2.229e-02 RTime: 59.184,,(no adduct),602.3044,3,49,69
Sel Score: 0.64 p value: 2.675e-02 RTime: 60.684,,(no adduct),469.9802,2,50,70
Sel Score: 0.88 p value: 5.825e-02 RTime: 61.101,,(no adduct),419.2198,2,51,71
Sel Score: 0.67 p value: 4.929e-02 RTime: 61.307,,(no adduct),606.964,3,51,71
Sel Score: 0.61 p value: 9.390e-02 RTime: 63.57,,(no adduct),581.6162,3,53,73
Sel Score: 0.57 p value: 1.293e-01 RTime: 64.146,,(no adduct),466.9897,2,54,74
Sel Score: 0.66 p value: 3.283e-02 RTime: 67.525,,(no adduct),647.6952,3,57,77
Sel Score: 0.65 p value: 1.328e-01 RTime: 71.28,,(no adduct),461.7329,2,61,81
Sel Score: 0.68 p value: 4.151e-02 RTime: 81.68,,(no adduct),585.961,3,71,91
Sel Score: 0.87 p value: 4.931e-02 RTime: 82.416,,(no adduct),544.2755,3,72,92
Sel Score: 0.69 p value: 9.019e-02 RTime: 85.141,,(no adduct),608.2929,3,75,95
Sel Score: 0.63 p value: 5.966e-02 RTime: 89.368,,(no adduct),612.6441,3,79,99
Sel Score: 0.72 p value: 1.284e-01 RTime: 91.012,,(no adduct),844.9139,2,81,101
Sel Score: 0.61 p value: 4.147e-02 RTime: 93.183,,(no adduct),562.9564,3,83,103
Sel Score: 0.68 p value: 2.987e-02 RTime: 95.782,,(no adduct),466.7211,2,85,105
Sel Score: 0.82 p value: 2.506e-02 RTime: 96.031,,(no adduct),475.2347,2,86,106
Sel Score: 0.7 p value: 6.670e-02 RTime: 100.532,,(no adduct),532.7609,2,90,110
Sel Score: 0.74 p value: 1.203e-01 RTime: 107.742,,(no adduct),1000.6792,2,97,117
Sel Score: 0.68 p value: 1.117e-01 RTime: 113.194,,(no adduct),516.939,3,103,120
Sel Score: 0.56 p value: 3.348e-02 RTime: 113.215,,(no adduct),642.3649,2,103,120
Sel Score: 0.79 p value: 3.192e-03 RTime: 115.714,,(no adduct),561.2998,3,105,120
Sel Score: 0.71 p value: 8.310e-03 RTime: 115.757,,(no adduct),560.9653,3,105,120
Sel Score: 0.58 p value: 7.983e-02 RTime: 115.45,,(no adduct),708.4046,2,105,120
Sel Score: 0.63 p value: 4.970e-02 RTime: 116.202,,(no adduct),559.6219,3,106,120
Sel Score: 0.6 p value: 8.258e-02 RTime: 116.606,,(no adduct),575.6408,3,106,120
Sel Score: 0.59 p value: 1.334e-02 RTime: 116.813,,(no adduct),752.4313,2,106,120
Sel Score: 0.57 p value: 3.153e-02 RTime: 116.161,,(no adduct),730.4178,2,106,120
Sel Score: 0.85 p value: 6.990e-02 RTime: 117.48,,(no adduct),817.315,2,107,120
