Compound,m/z,z,p value,specificity
"Sel Score: 0.8 RTime: 1327.576 Areas: [1717665.7199052703, 6641836.87817629, 8748529.1287891, 10729066.595494144, 4963631.786981792, 7650254.883155376]",456.7577,4.0,0.014706636403257797,12ca5
"Sel Score: 0.8 RTime: 1485.98 Areas: [4871305.916804903, 7230883.937846393, 7925342.536951413, 12575087.709485203, 17453049.625776287, 4800247.166730386]",460.0048,2.0,0.09728871715760057,12ca5
"Sel Score: 0.79 RTime: 1353.441 Areas: [6989038.978188232, 4147269.4037831156, 5026102.929641463, 11705992.659879807, 10921249.22472867, 11436296.117235005]",424.7547,2.0,0.0003585376509202528,12ca5
"Sel Score: 0.79 RTime: 1336.045 Areas: [2510187.670245615, 7579035.409839177, 6298573.869558508, 8168550.01105971, 8638857.682440331, 7241011.328240759]",455.0141,2.0,0.053309209280594134,12ca5
"Sel Score: 0.79 RTime: 1416.986 Areas: [2458240.4999442655, 6388667.504257689, 4461142.637767346, 4923677.630651975, 13234966.831685578, 17967254.429356553]",447.0,2.0,0.02055320398857753,12ca5
"Sel Score: 0.79 RTime: 1390.361 Areas: [3079952.3908205093, 12493661.440559758, 5837882.709808175, 9929368.252186479, 2141862.5145201376, 4806150.220013885]",454.5016,4.0,0.0648197736478532,12ca5
"Sel Score: 0.79 RTime: 1392.086 Areas: [3231748.0426767897, 4619893.149607103, 5186622.097977119, 9433971.395242643, 8753048.882834574, 6884456.18886935]",433.0078,2.0,0.010236802906318678,12ca5
"Sel Score: 0.79 RTime: 1334.083 Areas: [1390241.8327193356, 1212611.4366612672, 5694614.744080677, 2198235.964769343, 3743013.8479858665, 7823055.6428566035]",415.7563,4.0,0.05698428656093171,12ca5
"Sel Score: 0.79 RTime: 6942.823 Areas: [6211879.436949112, 4674493.93799597, 3966983.8276308766, 10081377.526676599, 29560747.074451737, 9964344.901989462]",561.2998,3.0,0.0031919145799787292,12ca5
"Sel Score: 0.79 RTime: 1328.133 Areas: [5037099.626402223, 2198426.0342002055, 5231540.434261048, 19059900.870591022, 6438883.945438708, 13557730.725451265]",454.247,2.0,0.1007372088799197,12ca5
"Sel Score: 0.78 RTime: 1613.537 Areas: [867651.985191534, 8243238.974877626, 1053203.2377103067, 9372576.889549028, 7983855.255413424, 7392147.847623134]",446.2531,4.0,0.1036537183908816,12ca5
"Sel Score: 0.78 RTime: 1428.997 Areas: [4434326.839416689, 5516026.353498848, 4847797.9264856335, 8361331.247228772, 6817694.279606805, 10056131.411635624]",441.5053,4.0,0.0008315895942809084,12ca5
"Sel Score: 0.78 RTime: 1352.234 Areas: [1372661.2569367127, 1809644.950656978, 1900989.7473893885, 3418432.248296364, 3430711.259631425, 1245509.867350048]",452.2556,4.0,0.05148154125784362,12ca5
"Sel Score: 0.78 RTime: 7031.422 Areas: [3222569.7064730693, 7230920.1622459665, 4720547.650648804, 13495292.89729894, 14121990.427918648, 11042552.942020062]",554.199,2.0,0.04846580756961723,12ca5
"Sel Score: 0.78 RTime: 7046.519 Areas: [6306252.4255222995, 3328770.017077904, 5847465.041866349, 8935324.625327973, 13371946.526342388, 6669063.630675224]",590.6503,3.0,0.02051505716103265,12ca5
"Sel Score: 0.78 RTime: 1649.489 Areas: [3787173.0260257293, 6167710.068409426, 5209836.349350039, 11714747.201195925, 11872359.540017156, 11879424.762858462]",444.5024,2.0,0.0466545547990517,12ca5
"Sel Score: 0.78 RTime: 1315.003 Areas: [3038938.6093699383, 5723586.865605323, 4611792.361184272, 9990.0, 9445596.47660475, 2518348.4563869173]",461.7574,2.0,0.04710462639788361,12ca5
"Sel Score: 0.77 RTime: 1405.692 Areas: [1769797.1691308548, 8028002.714910452, 5335478.826741497, 8018426.222409652, 3054468.068229258, 746154.992271096]",430.0175,4.0,0.13297865526879885,12ca5
"Sel Score: 0.77 RTime: 1572.149 Areas: [4270529.2792569, 11892344.935185796, 10323845.431855286, 8812916.25132182, 3664345.7327438276, 5251807.991388482]",461.0063,2.0,0.030261906673486896,12ca5
"Sel Score: 0.77 RTime: 1340.397 Areas: [4115133.0418376173, 3476763.390401214, 3127875.904591469, 8208730.362108844, 3809829.0123831984, 5083035.649893673]",438.0054,4.0,0.023101755329254906,12ca5
"Sel Score: 0.77 RTime: 1334.063 Areas: [2053739.0288995358, 7259363.504413359, 4519946.993837328, 4245628.16989727, 19519474.521866653, 4942303.958610248]",431.5088,2.0,0.044504044931218574,12ca5
"Sel Score: 0.77 RTime: 7411.459 Areas: [4333890.349321214, 8508354.316884335, 4471331.889563962, 5231578.487425917, 9816293.112532228, 13162652.734216379]",542.0472,4.0,0.0006318387786640563,12ca5
"Sel Score: 0.76 RTime: 1362.757 Areas: [12999317.34254835, 12290039.757075094, 10021549.711103281, 7649740.034739401, 6108081.724894848, 9702184.71144771]",454.7451,2.0,0.05856859533130179,12ca5
"Sel Score: 0.76 RTime: 1447.601 Areas: [4389020.672169561, 5453112.092528502, 1911769.0715331086, 14128210.117566248, 1950608.537405748, 1857684.423566499]",458.2582,2.0,0.02233704693062644,12ca5
"Sel Score: 0.76 RTime: 1309.69 Areas: [3783511.5540210153, 10962435.104945993, 2765108.491393683, 6257509.44406311, 6504050.954732224, 12045189.440514022]",459.767,2.0,0.006949474436402901,12ca5
"Sel Score: 0.76 RTime: 1337.646 Areas: [1561060.3074201103, 1536812.699972869, 4643342.125159018, 9445982.99497103, 2516386.8172328603, 2859877.4064687393]",457.2564,2.0,0.012985994841314909,12ca5
"Sel Score: 0.76 RTime: 7142.653 Areas: [17107123.08037763, 9077458.639404733, 18024157.312399793, 25170402.414422117, 24205582.74344265, 10451319.266570283]",619.6657,3.0,0.0058480708869991975,12ca5
"Sel Score: 0.76 RTime: 1313.336 Areas: [3757652.120191794, 9352901.102394044, 5358692.117716618, 3855160.334160432, 7525782.39852565, 7533567.473819041]",445.0131,4.0,0.011590498561300632,12ca5
"Sel Score: 0.76 RTime: 1458.085 Areas: [2781860.576491293, 4428883.709497135, 3023978.652995882, 2955054.2981884573, 17319794.883598648, 5437338.347595262]",433.2531,4.0,0.1266122154161362,12ca5
