m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore WDR5,SelScore Intstd WDR5,Ln(Concentration-Dependent Enrichment) WDR5,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_WDR5,yint_toberemoved_WDR5,Slope_toberemoved_WDR5,Area of Beads Only Reference,SelScore Rank WDR5,SelScore Intstd Rank WDR5,Concentration-Dependent Enrichment Rank WDR5,Total Rank WDR5,Total Intstd Rank WDR5
474.0192239463043,124.7545005356155,4.0,1892.047789905217,WDR5,0.012019702976591596,0.00751938606434111,29593.0,-13.125590010197767,0.9924806139356589,3905967.6623707917,12.901000567620283,"((1, 10016.333333333334), (0.6, 600655.8672679857), (0.3, 565358.180364427))",667031.7874423185,-501615.9219881906,"((1, 1301987.9133735467), (0.6, 782780.3207087385), (0.3, 255793.46834667106))",667031.7874423185,400712.93119676603,667031.7874423185,0,2839,2815,2815,5654
544.7969858443879,115.7589159135417,2.0,1087.5794187487759,WDR5,0.0013944860522827032,0.008502895091527424,78630.9863910328,11.660213647782601,0.9914971049084726,9168923.587036952,14.767402835491975,"((1, 26172.797660315584), (0.6, 399052.1389814498), (0.3, 644739.2197309552))",153166.37674853147,115868.7828837528,"((1, 3056309.3721063384), (0.6, 1642793.794811886), (0.3, 18036.222191937984))",153166.37674853147,2590607.1718624127,153166.37674853147,1,2728,2258,2259,4986
327.58863967361634,19.99712070662859,5.0,1632.9068160180818,WDR5,0.10336922064891849,0.011887044116635949,112921.59270640167,12.068260114680765,0.9881129558833641,9386630.32267411,14.860650644163243,"((1, 37639.63455290912), (0.6, 599663.9830395583), (0.3, 558907.3994065708))",164444.34470551708,174252.40223716415,"((1, 3728908.5627580173), (0.6, 994829.9020629004), (0.3, 367144.04860073485))",164444.34470551708,2843796.8724440327,164444.34470551708,2,2719,2153,2155,4872
353.3988757316642,19.364509640567594,5.0,1761.957996308321,WDR5,0.07843310768939346,0.012096685900971012,113586.04901550303,11.677116786863232,0.987903314099029,9276262.538057867,15.458286887491502,"((1, 37861.850114717905), (0.6, 78465.22368882778), (0.3, 354087.56472701806))",10680.786794937443,117843.97548509439,"((1, 4792973.650960569), (0.6, 4063347.3025022424), (0.3, 950297.178380784))",10680.786794937443,5169501.84800672,10680.786794937443,3,2724,1191,1194,3915
566.8099754893624,116.93979494731668,2.0,1131.6053980387248,WDR5,0.021901833873417112,0.026416989839946205,240310.89058116762,12.461725762978341,0.9735830101600538,8856520.051821806,14.735145775937925,"((1, 79967.75171193913), (0.6, 374948.55619856156), (0.3, 659374.896995219))",67511.04659817633,258260.94383296114,"((1, 2952173.766785175), (0.6, 1312175.0916816632), (0.3, 86454.04710002204))",67511.04659817633,2508375.212833387,67511.04659817633,4,2742,2286,2290,5028
632.8494722321827,120.34050715769489,2.0,1263.6843915243655,WDR5,0.011237900258432696,0.027979218711003468,202557.74753876525,12.279156058031417,0.9720207812889966,7037020.656382313,14.52988996277877,"((1, 67520.1769288788), (0.6, 395579.03912858036), (0.3, 817447.0888830401))",125323.08021694946,215164.05400636623,"((1, 2345672.8092713044), (0.6, 1391381.519074874), (0.3, 66146.35844792162))",125323.08021694946,2042918.463411232,125323.08021694946,5,2797,2464,2469,5261
673.8393536972167,80.53271030194477,3.0,2018.49623168165,WDR5,0.04886083542950634,0.028067754490740462,1761619.1208591955,-15.05681302297711,0.9719322455092595,61001475.1423585,16.369024846601135,"((1, 587204.6257285858), (0.6, 2998683.0891556013), (0.3, 1222268.6526755427))",4089613.1731256577,-3460117.2127488144,"((1, 20333825.35181769), (0.6, 8745719.714223105), (0.3, 2748948.461827093))",4089613.1731256577,12852190.819986116,4089613.1731256577,6,75,79,85,154
407.6883431989723,117.92512312855929,2.0,813.3621334579445,WDR5,0.013050484952513297,0.033480570477926554,2145537.59523655,17.5930134494852,0.9665194295220735,61937528.033859715,16.54338088212657,"((1, 715177.757025756), (0.6, 110387189.12879212), (0.3, 3383238.858970441))",2414554.32036901,43706764.821174785,"((1, 20645841.971650597), (0.6, 9972040.911532892), (0.3, 479916.0968886156))",2414554.32036901,15300267.687529476,2414554.32036901,7,69,38,45,107
610.8345451727498,119.25391557886765,2.0,1219.6545374054997,WDR5,0.017653583040930326,0.042683198773196714,330155.24292151234,12.663100565239183,0.9573168012268033,7404861.166599234,14.667873221783399,"((1, 110051.9450047362), (0.6, 417781.71819245635), (0.3, 777112.5062821778))",71492.93091441372,315874.5958535755,"((1, 2468286.0863982593), (0.6, 1760685.6345017813), (0.3, 38839.40429888055))",71492.93091441372,2345181.1862037764,71492.93091441372,8,2790,2357,2365,5147
741.5274837466853,84.90904398842943,3.0,2221.560621830056,WDR5,0.07186497501222473,0.046875459886113316,738764.0102794253,-14.39689986380346,0.9531245401138867,15021380.25442317,14.643084141306376,"((1, 246214.78401880074), (0.6, 854753.8695104058), (0.3, 764893.9874462032))",1885206.0467762258,-1788521.5088489791,"((1, 5893124.202147331), (0.6, 1132175.0328166392), (0.3, 1089052.0168172726))",1885206.0467762258,2287760.938968553,1885206.0467762258,9,2315,2378,2387,4693
