m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore WDR5,SelScore Intstd WDR5,Ln(Concentration-Dependent Enrichment) WDR5,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_WDR5,yint_toberemoved_WDR5,Slope_toberemoved_WDR5,Area of Beads Only Reference,SelScore Rank 12ca5,SelScore Intstd Rank 12ca5,Concentration-Dependent Enrichment Rank 12ca5,Total Rank 12ca5,Total Intstd Rank 12ca5
876.0751677539878,52.65085124788087,2.0,1750.1357825679756,12ca5,0.033943532329680594,0.9737921373177453,92829692.59132083,15.442566994125523,0.02620786268225476,2498344.0952506084,-16.48436996746086,"((1, 29428057.143356815), (0.6, 11752302.896505533), (0.3, 5993386.125179577))",16262414.921379989,5088873.2272331705,"((1, 807975.0626693073), (0.6, 628246.6998659243), (0.3, 29331926.462138016))",16262414.921379989,-14423508.490316981,16262414.921379989,0,3,58,58,61
876.0756574518011,51.77200300202954,2.0,1750.1367619636023,12ca5,0.01563810026911278,0.9671573534452247,74471151.2489111,15.993464094731717,0.03284264655477527,2528884.9743866613,-15.44963104269141,"((1, 18946056.43230577), (0.6, 14170645.592230326), (0.3, 5776008.536085463))",8621224.055873558,8828221.129805887,"((1, 842906.2511023447), (0.6, 628387.8680171306), (0.3, 25764038.03246587))",8621224.055873558,-5124948.543734466,8621224.055873558,1,4,13,14,17
556.7007236930424,23.203625109893558,4.0,2222.7737888921697,12ca5,0.028363776437798152,0.9581316352381497,26457689.805745855,13.73127652601888,0.04186836476185032,1156146.1565430101,-16.062928031484237,"((1, 8819229.447456101), (0.6, 9372293.06620603), (0.3, 6168471.248792195))",7873833.320428554,919216.1049867022,"((1, 375106.416331425), (0.6, 290713.12525719457), (0.3, 2296715.327410032))",7873833.320428554,-9463265.119063739,7873833.320428554,2,115,223,225,338
445.7645820020572,22.06661258105586,2.0,889.5146110641143,12ca5,0.00482926004317885,0.921949764341696,25118694.77396681,15.462291377166865,0.07805023565830416,2126493.353937784,-14.543603932398323,"((1, 8372896.07478783), (0.6, 6091140.636730901), (0.3, 2470848.7774615497))",2759463.402138246,5190244.569070926,"((1, 708831.6516106608), (0.6, 1661780.2638265043), (0.3, 1779816.983609217))",2759463.402138246,-2071127.9752285485,2759463.402138246,3,128,56,59,184
448.26569055719204,22.178968281335916,2.0,894.516828174384,12ca5,0.005084409393055666,0.8976065384791108,29341146.82418387,15.36424743046956,0.10239346152088932,3347058.493369868,-14.611508971132915,"((1, 9756475.511752523), (0.6, 5571519.326320205), (0.3, 3574649.2387438267))",3867775.7385202996,4705522.752034867,"((1, 1817967.1199110232), (0.6, 2254394.8024300765), (0.3, 3213410.020868886))",3867775.7385202996,-2216653.0279332143,3867775.7385202996,4,91,78,82,169
445.76514304942066,21.531352582120274,2.0,889.5157331588413,12ca5,0.09899476333952315,0.8887878073608684,17849710.454626605,15.032817647885928,0.11121219263913155,2233497.603356136,-14.420714953898191,"((1, 5949902.5915690465), (0.6, 5006677.043222897), (0.3, 2444478.2369398517))",2520546.473450948,3378078.612163472,"((1, 748325.033206263), (0.6, 1470907.6651573076), (0.3, 1674367.2392397774))",2520546.473450948,-1831626.5476466038,2520546.473450948,5,181,115,120,296
544.2754605044604,82.41630417997531,3.0,1629.8045521033812,12ca5,0.04931217452563875,0.8722064677436602,40665413.410393745,15.381772090018698,0.12779353225633983,5958195.693987757,-14.264459550948771,"((1, 13555140.637168497), (0.6, 11652473.033045486), (0.3, 10088383.078248955))",8752371.911110757,4788712.240959044,"((1, 1449661.4986657172), (0.6, 10556337.100804565), (0.3, 21914597.477814686))",8752371.911110757,-1566664.7442685117,8752371.911110757,6,28,70,76,98
451.2486323625611,24.30516073135822,2.0,900.4827117851222,12ca5,0.12954755729610065,0.8719655471275252,42065379.313473575,14.909883023721987,0.12803445287247484,6176640.628767909,-15.377367810667813,"((1, 13636823.797805794), (0.6, 4003407.1075938214), (0.3, 3095317.7864803))",6650456.630300966,2987307.457348899,"((1, 1969711.8847661773), (0.6, 3828758.3832720052), (0.3, 4852607.920736487))",6650456.630300966,-4767667.791354055,6650456.630300966,7,23,137,144,160
604.9918205094551,118.25517242636779,3.0,1811.9536321183655,12ca5,0.0035404575195832084,0.867499850000647,7429658.925205436,14.404217107471144,0.13250014999935306,1134790.8844399434,13.090682291470268,"((1, 2476550.9457607106), (0.6, 324390.4992856844), (0.3, 167351.07041972154))",57362.395648180136,1801656.55409104,"((1, 662634.3373235035), (0.6, 224900.77934132013), (0.3, 46016.616305862895))",57362.395648180136,484407.7508539832,57362.395648180136,8,240,180,188,420
448.75930046895894,22.327744244002567,4.0,1791.0080959958357,12ca5,0.0009688259266203929,0.8663978163178776,32142551.19789943,14.941570783627746,0.13360218368212246,4956516.450381056,-15.265987239149018,"((1, 10714180.658246255), (0.6, 6092457.603542608), (0.3, 3696221.207557399))",5793404.918738186,3083484.305684998,"((1, 1658105.2055417474), (0.6, 3438495.607181587), (0.3, 3672678.0624203426))",5793404.918738186,-4265147.146066571,5793404.918738186,9,71,132,141,203
