Compound,m/z,z,p value,specificity,areas
Sel Score: 0.72 RTime: 2236.633,401.2253,2.0,0.09014026593064425,Unclear,"[13211478.221343294, 27309311.046022158, 21554516.59456354, 8043679.038617507, 7816759.20224588, 8161934.161180327]"
Sel Score: 0.72 RTime: 2537.165,412.7158,2.0,0.2349725560362969,Unclear,"[10900376.99282776, 15692720.289292192, 35669343.86277643, 8023479.154591048, 9198883.437093465, 6892157.539421725]"
Sel Score: 0.72 RTime: 1724.153,402.7341,2.0,0.018023638204851554,12ca5,"[7606944.903746979, 8764170.702972326, 5720981.811990716, 1726035.4625673117, 3552851.087963607, 3278055.606183956]"
Sel Score: 0.72 RTime: 4005.51,537.6198,3.0,0.26188692936017216,Unclear,"[9157571.248122936, 2463558.508305464, 3834132.7270419714, 9947.0, 3032024.836572551, 2949105.3680498987]"
Sel Score: 0.72 RTime: 2334.432,423.7243,2.0,0.20014092717376702,Unclear,"[20956830.471976373, 20101494.20027881, 51298326.14319982, 4806668.954718141, 15011334.455008762, 16007456.757462146]"
Sel Score: 0.72 RTime: 1316.103,433.987,2.0,0.04948208558499658,12ca5,"[10828270.054479312, 6134106.733986001, 9906840.727510273, 3362600.665429654, 2655958.908454379, 4406924.3506831685]"
Sel Score: 0.72 RTime: 2539.197,421.2294,4.0,0.28710019417313715,Unclear,"[14966789.268532291, 30434721.187269844, 70078572.6051021, 12184291.47843764, 14467276.146190725, 18165297.153046243]"
Sel Score: 0.72 RTime: 3145.823,492.6107,3.0,0.14382866317864215,Unclear,"[4344023.807840463, 11921566.833133396, 8859899.251580475, 3665075.077429313, 2865426.2010937445, 3220945.5976459496]"
Sel Score: 0.72 RTime: 2254.692,457.2311,2.0,0.009897842840410499,12ca5,"[21692582.755564604, 17103402.611114025, 18830055.279305354, 10464463.942822509, 8028297.15019579, 3885630.873804198]"
Sel Score: 0.72 RTime: 2191.598,527.9481,3.0,0.18544682643734473,Unclear,"[18503973.99999745, 11865919.63507667, 5427413.054333577, 2352061.6615000973, 5356314.804323149, 6196504.065271947]"
Sel Score: 0.72 RTime: 2355.612,428.4734,4.0,0.14613394098726434,Unclear,"[47147736.98524648, 23706759.231537983, 21139937.731931802, 9953254.918675313, 10261664.737991106, 15525469.731012039]"
Sel Score: 0.72 RTime: 1608.882,452.9919,2.0,0.25552033470392405,Unclear,"[5422989.440790126, 3736407.6019523535, 13145137.82792559, 3045186.196358397, 3572102.3945370447, 2049968.0105205062]"
Sel Score: 0.72 RTime: 3408.637,459.4928,2.0,0.16532130280462493,Unclear,"[5726156.924488971, 3309770.1807331555, 9386173.22305979, 10045.0, 2944759.2691920195, 4206155.003065219]"
Sel Score: 0.72 RTime: 2797.353,419.7352,4.0,0.042572630570239606,12ca5,"[14405603.921589648, 14295212.913572619, 9736711.692502894, 9083727.895628039, 2496811.6047454933, 3368781.3824512665]"
Sel Score: 0.72 RTime: 2199.911,456.7292,4.0,0.005324729528263594,12ca5,"[13520298.642755924, 18060802.739490878, 16645326.317102239, 7535595.704095286, 4161992.1693128, 7063475.34563023]"
Sel Score: 0.72 RTime: 2343.698,446.4808,4.0,0.02023398742820487,12ca5,"[18911608.476741128, 19109821.987408757, 21531239.98838979, 5490091.861165484, 12104970.149788706, 5573564.115766332]"
Sel Score: 0.72 RTime: 3137.384,538.2909,3.0,0.009292128429901285,12ca5,"[29859405.51573045, 31568854.912567895, 24143316.096719157, 9438080.447187908, 16556259.419565007, 7309005.521081381]"
Sel Score: 0.72 RTime: 3414.286,560.2847,3.0,0.3094947719564698,Unclear,"[6552201.367541598, 10606447.405964337, 29316825.405594576, 6605484.398161855, 6311560.8185140705, 5176600.920626537]"
Sel Score: 0.72 RTime: 2169.115,419.2361,2.0,0.17269524699670877,Unclear,"[20046638.519154992, 11063036.414435865, 33631639.72953961, 14748756.983565912, 7560905.989683811, 2908974.4704864915]"
Sel Score: 0.72 RTime: 1617.392,425.4834,2.0,0.2928188300217683,Unclear,"[32557471.521196917, 15041459.352372074, 6104937.571193902, 8733991.714423541, 9156083.491914777, 3030002.0536022307]"
Sel Score: 0.72 RTime: 1773.873,436.4986,2.0,0.32754651881818075,Unclear,"[18268616.012560386, 8267162.466985965, 2584010.0060678693, 7399139.571455018, 2806428.098179778, 1138720.759962583]"
Sel Score: 0.72 RTime: 1690.548,436.7355,4.0,0.16495161150568097,Unclear,"[12742372.687228478, 8587305.87350778, 23138415.820104428, 3610421.602926977, 7423913.974497034, 6290444.120874563]"
Sel Score: 0.72 RTime: 1663.51,394.9732,2.0,0.5110866346457041,Unclear,"[37065702.721464455, 2850836.6074992577, 3892720.035971, 4076550.920517201, 7456231.86754436, 5536603.323727126]"
Sel Score: 0.72 RTime: 2881.676,557.2836,3.0,0.11819375211311423,Unclear,"[37894723.903692886, 31387407.42962546, 15191484.539612215, 13932228.17748979, 8032552.824523658, 10949741.141983598]"
Sel Score: 0.72 RTime: 2308.779,407.7296,4.0,0.18177203040322287,Unclear,"[22288829.803930707, 55112870.893270545, 24506448.571496036, 19364012.43723945, 8228117.414658806, 12116485.35414823]"
Sel Score: 0.72 RTime: 1802.43,433.4804,4.0,0.3301642318085034,Unclear,"[13634526.065101057, 31929835.928747997, 4656267.603662865, 10209055.482548798, 4638755.124099966, 4723956.951231941]"
Sel Score: 0.72 RTime: 2353.645,415.2145,2.0,0.08747680882184722,Unclear,"[28586685.320180766, 15561980.04492255, 33568797.98767699, 10280646.682866495, 7113993.915444801, 12893693.738666758]"
Sel Score: 0.72 RTime: 2335.506,407.463,4.0,0.14497104036653097,Unclear,"[13347905.214671893, 31895707.51993314, 37617551.10594419, 12112839.795444364, 11695492.68946496, 8488615.818382813]"
Sel Score: 0.72 RTime: 3022.071,581.9644,3.0,0.14061275060658737,Unclear,"[18992416.060875528, 37762614.41185446, 17444365.34933875, 12078721.618753048, 6748232.097533281, 10110876.462544989]"
Sel Score: 0.72 RTime: 1581.598,346.7876,5.0,0.13967215088427248,Unclear,"[5670266.498397902, 11721070.949287208, 5451388.651153087, 1696184.2843647057, 4489393.703303965, 2724706.8669948373]"
Sel Score: 0.72 RTime: 2281.816,560.6134,3.0,0.024773799652107766,12ca5,"[13955760.447550429, 15628521.516110454, 15396994.614607718, 3473841.9131082743, 9149417.722948208, 4923283.291294001]"
Sel Score: 0.72 RTime: 2365.15,384.4788,4.0,0.23629225206673307,Unclear,"[14739270.127336862, 6416514.480426976, 4563131.432047181, 3547697.103010752, 3567669.688063204, 2917468.5401647035]"
Sel Score: 0.72 RTime: 2358.742,392.2164,2.0,0.13829435300340268,Unclear,"[11487953.560629742, 13733381.67168104, 25821762.70719751, 8320419.839113934, 6974964.69851115, 4619506.932381173]"
Sel Score: 0.72 RTime: 2792.478,495.9414,3.0,0.29594618915348153,Unclear,"[33015184.34442259, 13203597.156887203, 7248745.212220678, 6958784.292419502, 10446119.68934523, 3476140.382466553]"
Sel Score: 0.72 RTime: 2400.126,435.745,4.0,0.007724100700852212,12ca5,"[29329786.009459592, 22195190.01621255, 22840651.612861827, 10848262.270830339, 11583882.241646, 6611600.005371773]"
Sel Score: 0.72 RTime: 2811.446,412.2196,4.0,0.017989436350737208,12ca5,"[29300783.034279596, 33490459.389012586, 43335433.04565681, 17874194.8337025, 9579765.652320484, 13998149.217541998]"
Sel Score: 0.72 RTime: 2615.755,525.6374,3.0,0.07134470916490412,Unclear,"[19134432.196349587, 11832956.122413984, 11143607.70923113, 4235004.545534189, 6230273.162573882, 5983721.699032535]"
Sel Score: 0.72 RTime: 2567.907,512.9328,3.0,0.0554832430822945,Unclear,"[26371879.036857106, 15281146.744450605, 17146653.040476795, 3479639.6669586087, 12768292.282927293, 6720537.667392801]"
Sel Score: 0.72 RTime: 1947.978,405.9902,4.0,0.06951823808243744,Unclear,"[17893808.663508747, 8871593.397345265, 14858462.27196653, 9448196.155168306, 2547537.111297341, 4267825.958015256]"
Sel Score: 0.72 RTime: 3096.587,463.9956,2.0,0.46227202926832944,Unclear,"[2953037.6413995903, 27009783.525342945, 4558646.149245976, 4618143.750122399, 5766470.191643071, 3109060.7998292926]"
Sel Score: 0.72 RTime: 2555.115,535.2834,3.0,0.049192242374779545,12ca5,"[13870077.129484091, 23849585.071853288, 25067333.164006226, 11988136.028177738, 6327465.83927398, 6235281.856690664]"
Sel Score: 0.72 RTime: 765.653,333.7924,5.0,0.1992573476170748,Unclear,"[422008.01591085875, 1538807.1520100927, 1036795.5371059795, 226169.5216626927, 795677.7869736708, 150845.59037012907]"
Sel Score: 0.72 RTime: 3440.278,525.9615,3.0,0.002804463885602247,12ca5,"[11936628.21128244, 13848019.961429678, 15042478.336367605, 6413046.439019181, 5165771.263705097, 4394188.935583455]"
Sel Score: 0.72 RTime: 2268.049,397.4717,2.0,0.2456350361388031,Unclear,"[9637541.131473748, 12937645.72809698, 31656033.213134196, 3211053.2918153806, 8185234.267335778, 9835276.934750335]"
Sel Score: 0.72 RTime: 1998.101,447.2586,2.0,0.12440338952987177,Unclear,"[9180310.13408213, 4188633.21688179, 5259895.985066859, 1773037.5188146455, 2881562.208345194, 2640771.3058774117]"
Sel Score: 0.72 RTime: 2099.472,399.4841,2.0,0.04958907655884441,12ca5,"[13800504.600318907, 19493791.193647344, 23846833.693479292, 6449793.920805909, 2889165.4400119702, 13042785.077708118]"
Sel Score: 0.72 RTime: 2362.703,433.7386,2.0,0.00928228795454589,12ca5,"[26995297.761225607, 33261375.411738034, 24106457.394278213, 15751572.039541434, 8693894.52361428, 8622895.00825352]"
Sel Score: 0.72 RTime: 3082.815,550.9385,3.0,0.06045437197073243,Unclear,"[12051046.68254263, 15692236.048870327, 22308639.34613625, 9153139.2678653, 5284779.08052617, 5184387.49455709]"
Sel Score: 0.72 RTime: 1441.161,411.9757,4.0,0.16049783758400812,Unclear,"[17354120.033055373, 5734885.666384787, 16383288.855918609, 4680330.624848263, 6555091.148308961, 4240517.177065082]"
Sel Score: 0.72 RTime: 3230.508,547.955,3.0,0.02125566440822946,12ca5,"[23647275.05913563, 23775720.35307097, 33189904.780658007, 11939058.750996698, 7661115.409036224, 12010898.139005747]"
Sel Score: 0.72 RTime: 2413.327,421.4703,4.0,0.022842963326580257,12ca5,"[22201831.559615493, 32844428.540657595, 34353104.36965914, 17676138.591327444, 10112163.359412838, 7270360.162175853]"
Sel Score: 0.72 RTime: 2440.5,570.2891,3.0,0.1071282139554382,Unclear,"[21190169.0556865, 12945500.888784895, 29803381.604185194, 6190290.705548577, 7850664.804330238, 11033596.66922152]"
Sel Score: 0.72 RTime: 1093.021,420.7249,4.0,0.16730599936243323,Unclear,"[3899986.427454847, 1209359.5683518846, 2794196.6030460126, 533772.214060666, 1102406.8569568093, 1463897.4847255147]"
Sel Score: 0.72 RTime: 2601.204,415.2285,2.0,0.2029327639846412,Unclear,"[11317102.010208819, 46317298.474160604, 43096310.39007799, 24368039.362739827, 9525031.772580089, 5624816.223413924]"
Sel Score: 0.72 RTime: 3947.377,598.9694,3.0,0.16143346721253446,Unclear,"[12731436.05837804, 10005859.496868042, 3991112.324103915, 5230186.828930238, 2250955.615637553, 3022924.279669448]"
Sel Score: 0.72 RTime: 2710.188,506.9344,3.0,0.035796394705081835,12ca5,"[13809594.156104932, 23724743.248247907, 20748662.60464919, 11198059.637448091, 6287182.177067195, 5421534.674828355]"
Sel Score: 0.72 RTime: 4150.874,574.2831,3.0,0.2972214740304574,Unclear,"[8475524.23861476, 4198046.540904415, 1435250.8486519807, 1724850.9154963566, 1436429.6162033677, 2384216.3589179995]"
Sel Score: 0.72 RTime: 1770.516,404.7452,4.0,0.2450314833675479,Unclear,"[14280465.621877912, 3595744.935328996, 7358578.6170091685, 1035820.6917426115, 6662051.070450944, 2223926.2919764384]"
Sel Score: 0.72 RTime: 1182.68,416.9745,2.0,0.11089333425864062,Unclear,"[8366467.336859061, 6134080.234181988, 3432806.4046174567, 3596217.111076148, 2880514.5042363326, 576800.6257682955]"
Sel Score: 0.72 RTime: 1495.302,421.4844,2.0,0.14843099608692448,Unclear,"[7100869.98415857, 14377604.282233387, 6288758.087345561, 5381786.107627093, 1733033.1962789055, 3807564.107295485]"
Sel Score: 0.72 RTime: 2419.618,518.6226,3.0,0.0650722269668628,Unclear,"[14277577.272926774, 11464520.337460646, 20274243.205423612, 5600800.438302481, 7032122.765871597, 5472736.741635542]"
Sel Score: 0.72 RTime: 2209.553,393.4735,2.0,0.23560643032681863,Unclear,"[14512132.951557757, 29151640.252918307, 7789921.374890823, 10603659.417095847, 6524815.971266306, 3118803.181358469]"
Sel Score: 0.72 RTime: 1636.32,456.7461,4.0,0.22018243960303355,Unclear,"[15852014.118179712, 3367812.64980976, 13920661.192286499, 6194163.120971065, 1769125.581037808, 5078940.4934951225]"
Sel Score: 0.72 RTime: 2813.41,406.4829,2.0,0.027179571913981074,12ca5,"[13359006.486088894, 8787570.764257925, 14102815.084791502, 5211089.440254289, 2543798.875749952, 6516264.282769818]"
Sel Score: 0.72 RTime: 1678.112,414.2144,2.0,0.35498398722221053,Unclear,"[26526946.89579206, 6134416.525586367, 6828092.695620532, 5395761.825886617, 5281227.786242219, 4873824.491433344]"
Sel Score: 0.72 RTime: 3336.231,535.6102,3.0,0.17161810077355713,Unclear,"[7991805.116811164, 25658517.303372413, 18382731.910011027, 8303991.943072462, 7623556.895830752, 4567649.838380079]"
Sel Score: 0.72 RTime: 2901.759,558.6162,3.0,0.1014378244726234,Unclear,"[38202387.619919166, 16388661.822223986, 28129544.855434097, 5818224.893826509, 11299716.71425747, 15477000.82062187]"
Sel Score: 0.72 RTime: 2553.407,411.735,4.0,0.13587853695001778,Unclear,"[27581299.17915936, 56557326.1906441, 26961422.39847009, 17303210.972954895, 7149034.845311975, 19345565.431504447]"
Sel Score: 0.72 RTime: 2598.759,410.9877,4.0,0.16014303938430466,Unclear,"[9761364.807560153, 20212585.27125816, 29034658.511471096, 6302901.952862706, 6645760.626563333, 10313935.733892974]"
Sel Score: 0.72 RTime: 2367.768,459.2421,4.0,0.02189692678416911,12ca5,"[24465790.413961057, 30381842.660457112, 26191590.653108966, 14729661.36633092, 4059681.628170373, 13158264.97675863]"
Sel Score: 0.72 RTime: 1990.584,422.0016,2.0,0.26384299154654617,Unclear,"[14937288.123165391, 10660999.458454086, 2360575.579159419, 4621010.203811045, 4080381.622991766, 2321754.62018063]"
Sel Score: 0.72 RTime: 3472.324,540.6368,3.0,0.19429087796628752,Unclear,"[26649244.479112364, 7463630.714674658, 17481497.89762326, 9799058.333353553, 6387727.680487327, 4172651.70796433]"
Sel Score: 0.72 RTime: 3316.436,439.4884,4.0,0.15566262780530002,Unclear,"[5898825.754276345, 11649405.33667946, 4795134.923918618, 4478641.262254227, 3228930.3081944315, 1109459.4499954055]"
Sel Score: 0.72 RTime: 2442.426,412.7206,2.0,0.07490801117403058,Unclear,"[23972101.00126777, 41286715.20781839, 46671698.236488715, 13078104.607734969, 13431656.108739926, 17662754.1487051]"
Sel Score: 0.72 RTime: 2071.609,393.4515,4.0,0.28615366735765424,Unclear,"[1344309.2766221932, 10124011.318209907, 6878796.554523908, 1737819.5104184798, 815790.4868940158, 4687923.46279271]"
Sel Score: 0.72 RTime: 2302.933,430.7239,4.0,0.06971205916882245,Unclear,"[24138605.76351954, 49241442.1203139, 42162914.676199846, 7158253.144828754, 13774980.722133642, 24690258.79430415]"
Sel Score: 0.72 RTime: 2390.969,452.4786,4.0,0.020335370723643213,12ca5,"[26588576.08679685, 19777173.567812067, 18732448.637613036, 9081797.83637677, 6513206.981220033, 10111496.495427033]"
Sel Score: 0.72 RTime: 2533.835,436.0003,4.0,0.04548929015179005,12ca5,"[16917567.751647457, 11565954.261282735, 20462858.465161838, 8079568.107389702, 7009115.365672788, 4252145.090584898]"
Sel Score: 0.72 RTime: 1325.383,415.9665,2.0,0.08712168087136626,Unclear,"[5541105.337784585, 3343774.026223606, 2863412.420942452, 1188723.976136789, 2219552.713337485, 1234851.2534780165]"
Sel Score: 0.72 RTime: 2435.989,453.9764,4.0,0.21657510201434665,Unclear,"[25472592.98571712, 11796896.644458862, 8292719.190657908, 4634177.328955028, 4476411.825248088, 8898175.957853898]"
Sel Score: 0.72 RTime: 3060.409,439.4943,2.0,0.13255673483358774,Unclear,"[18102582.001486115, 9027895.260825802, 24453914.243118457, 11547222.96007564, 6497717.300024374, 2352684.5149710723]"
Sel Score: 0.72 RTime: 2140.359,447.7184,2.0,0.35043181176573024,Unclear,"[3569485.6817073105, 16975583.885057416, 4961010.756297617, 3529969.5206857044, 2602671.076225845, 3954265.4280330073]"
Sel Score: 0.72 RTime: 2073.746,351.7934,5.0,0.4025287986791485,Unclear,"[1816264.1470722593, 10756908.393158728, 2691029.343290261, 4589795.243218381, 783247.5328790277, 666937.1643262733]"
Sel Score: 0.72 RTime: 1931.292,439.4672,4.0,0.10961698146082031,Unclear,"[17899120.029571243, 10385903.870625779, 8580223.277194887, 4168042.3959598416, 3671099.421754871, 6750100.9265870135]"
Sel Score: 0.72 RTime: 2320.247,396.7314,4.0,0.29492005753457207,Unclear,"[13175432.589339899, 12399315.372988679, 41951224.31479748, 14195935.080777895, 5212984.6021639425, 7324664.015284644]"
Sel Score: 0.72 RTime: 2955.957,556.6306,3.0,0.2077656804420416,Unclear,"[36586152.3347374, 9193245.533544691, 26331250.457841575, 12055650.980300503, 6882716.859678496, 9622879.242455402]"
Sel Score: 0.72 RTime: 2400.511,430.9693,4.0,0.10234932787062698,Unclear,"[16867028.163033962, 19754926.087942395, 34496303.982697695, 4626795.607806822, 9213386.118349304, 14342485.112795893]"
Sel Score: 0.72 RTime: 1258.551,431.2334,2.0,0.19666873479970862,Unclear,"[16862702.13929619, 7055869.5353022525, 6802799.121426953, 5807985.122221328, 2584991.916469144, 3782444.303975605]"
Sel Score: 0.72 RTime: 3354.692,551.9618,3.0,0.08572509610042063,Unclear,"[13376124.332019968, 27821970.61970992, 23476514.086631544, 9078536.941233192, 10044988.335853029, 6527395.430552591]"
Sel Score: 0.72 RTime: 2336.878,456.7513,4.0,0.1797651253074389,Unclear,"[14652832.81998819, 7512678.962123989, 5346277.412035935, 5455949.678142357, 2750168.44487589, 2705769.1463257195]"
Sel Score: 0.72 RTime: 960.27,367.4095,5.0,0.2446177795647186,Unclear,"[376147.7936578319, 2098909.847642003, 1719234.2379689338, 796085.7921879228, 421007.42305280105, 446945.36019534257]"
Sel Score: 0.72 RTime: 2844.655,543.2858,3.0,0.03000152523753276,12ca5,"[29499254.684103876, 25586382.94142965, 18037896.500008836, 6151402.881675225, 7597761.140929682, 15271045.528102288]"
Sel Score: 0.72 RTime: 2565.565,423.2383,2.0,0.06904437185738439,Unclear,"[18280289.20587791, 35410590.69428636, 26883205.10378881, 10036741.142693104, 8066034.283014582, 13876717.871164255]"
Sel Score: 0.72 RTime: 3129.206,501.935,3.0,0.14325756558137312,Unclear,"[23042366.745399788, 9152304.73101709, 25867812.8585896, 9983761.988148492, 12075734.811302574, 988673.6599006398]"
Sel Score: 0.72 RTime: 3281.283,569.9685,3.0,0.07269368303034224,Unclear,"[30825739.933381755, 19618929.30536305, 16624620.182700217, 15456523.301750073, 5025745.165130786, 6141769.027588531]"
Sel Score: 0.72 RTime: 1520.778,418.9674,4.0,0.05372648054406029,Unclear,"[23890912.1291573, 14772243.633726908, 14485108.548224466, 4233579.986988094, 11307106.421191465, 5560737.736480214]"
Sel Score: 0.72 RTime: 2859.873,584.9531,3.0,0.012420261368038622,12ca5,"[12455747.09096575, 17433452.36492755, 16420745.691664075, 5324524.835083914, 3986453.8390442804, 9082619.674043085]"
Sel Score: 0.72 RTime: 2829.716,481.2401,2.0,0.17667039180391048,Unclear,"[15338964.675165229, 14630773.899929477, 4498621.139247662, 7222369.930796473, 3962031.8003374464, 2507746.4485726883]"
Sel Score: 0.72 RTime: 1706.254,440.982,4.0,0.03762796053100549,12ca5,"[19226420.39698769, 13170810.711095078, 20036728.37955516, 7076060.227262821, 7382355.099364062, 6377045.845497866]"
Sel Score: 0.72 RTime: 2383.977,421.9917,2.0,0.039140338759700265,12ca5,"[13193446.49865884, 22469703.575375795, 21614418.108712986, 4292392.922521412, 10426998.75542371, 8041078.784056495]"
Sel Score: 0.72 RTime: 2355.762,531.2958,3.0,0.19336470540391423,Unclear,"[26303412.864706956, 14925253.76709611, 8437995.96470207, 5544594.253340631, 5848737.069666171, 8349412.368893106]"
Sel Score: 0.72 RTime: 2541.721,427.489,4.0,0.1705421880776464,Unclear,"[9262529.064726265, 21128603.068631195, 29503147.34008074, 5152862.10426218, 10463956.207103014, 8199934.443596459]"
Sel Score: 0.72 RTime: 2671.668,432.2272,4.0,0.08896034987694271,Unclear,"[19694340.21466396, 33216414.324932843, 41463660.87623501, 9558193.238871446, 13362993.177162426, 14617676.993140964]"
Sel Score: 0.72 RTime: 1754.67,383.2217,4.0,0.18192633047507065,Unclear,"[7573688.068796182, 5849809.89987554, 2171011.7785621034, 1787519.805369964, 2915078.496973588, 1501062.2865426997]"
Sel Score: 0.72 RTime: 3046.804,479.2436,2.0,0.11756396423775585,Unclear,"[12204831.229378715, 5643357.225407524, 8203047.378237066, 10136.0, 6104411.741338977, 4249702.2502249405]"
Sel Score: 0.72 RTime: 2082.673,515.2798,3.0,0.10941803808739603,Unclear,"[11400788.668063626, 6303831.81287314, 14920630.495082898, 5215370.601270284, 2765394.4323855215, 4999578.716192035]"
Sel Score: 0.72 RTime: 1525.225,459.9921,2.0,0.1165050535494316,Unclear,"[5090188.428624502, 3769314.850081116, 8505048.340947108, 1805631.5120929817, 3921874.7660743743, 1182077.9682569997]"
Sel Score: 0.72 RTime: 1765.383,404.9871,4.0,0.13408461729099533,Unclear,"[10750068.169670956, 4236073.493380941, 6748573.133302909, 3891831.8851839937, 1151014.5686282332, 3610771.916881161]"
Sel Score: 0.72 RTime: 2565.462,461.7328,2.0,0.3237193099887784,Unclear,"[15336262.582420094, 33522524.577401776, 4984017.025700638, 10213372.920889245, 3751535.8374043144, 7473626.157317202]"
Sel Score: 0.72 RTime: 2934.785,455.7338,4.0,0.010647954040913952,12ca5,"[23485932.77134965, 16567258.897176875, 21767464.6774079, 5278810.272823838, 8935770.422990307, 10409041.701827455]"
Sel Score: 0.72 RTime: 3490.757,575.9424,3.0,0.2574446212368406,Unclear,"[14347434.164869376, 5399980.319939602, 4527090.651734312, 1516638.8792833067, 3764365.507781879, 4387926.480793335]"
Sel Score: 0.72 RTime: 1903.418,435.7151,2.0,0.29725112058003916,Unclear,"[3196652.5435686363, 12802084.237252085, 4750452.306555013, 3348834.4483469194, 377492.52533366636, 4542143.470708271]"
Sel Score: 0.72 RTime: 2074.64,406.2344,4.0,0.07497401437136234,Unclear,"[24193212.669928253, 12876190.773806358, 17333344.64190971, 8540988.223326981, 6632871.096266429, 6506920.77797505]"
Sel Score: 0.72 RTime: 1259.739,402.2187,4.0,0.1266452770296064,Unclear,"[10583887.04614531, 6854499.3307787115, 4275614.684938539, 3363862.9256515135, 1392124.9069810768, 3898917.2968604444]"
Sel Score: 0.71 RTime: 3186.917,477.4932,2.0,0.11584994388616279,Unclear,"[3576431.611231118, 7172340.921010863, 8547135.93971619, 2775915.3145335694, 2923446.341080693, 1993510.661797398]"
Sel Score: 0.71 RTime: 2198.447,455.2395,4.0,0.13313999222934492,Unclear,"[20667729.95991317, 9678755.78465193, 24525420.949791946, 9615296.606758643, 9958.0, 12265884.501395516]"
Sel Score: 0.71 RTime: 1643.678,408.7305,2.0,0.14334022682206024,Unclear,"[6463904.5278506065, 12542667.488759872, 17250251.34662211, 6158119.249304643, 174123.94007106926, 8132670.825116546]"
Sel Score: 0.71 RTime: 2846.119,532.9604,3.0,0.12582174144659947,Unclear,"[30714116.390199613, 11855026.381048465, 23019859.79151311, 7218618.519222249, 6188291.975415526, 12767389.872863187]"
Sel Score: 0.71 RTime: 3383.147,429.9915,2.0,0.17853775618337897,Unclear,"[1381746.6832085259, 4606557.376630692, 3746393.898123503, 10262.0, 2067115.155148871, 1807972.2943935145]"
Sel Score: 0.71 RTime: 2750.82,385.4773,2.0,0.16301929309267438,Unclear,"[9371974.571919888, 9879997.341770321, 3274120.6569557087, 3584760.868775725, 3229959.947831378, 2177275.6732539595]"
Sel Score: 0.71 RTime: 1936.187,399.2325,2.0,0.1644030076832591,Unclear,"[14214153.98033064, 14319264.47282104, 4868839.525561519, 4706560.099176556, 4971710.141956061, 3663124.0596693396]"
Sel Score: 0.71 RTime: 1613.929,453.492,4.0,0.09667012672707702,Unclear,"[11050840.175166925, 5694852.4841634575, 12878802.413351625, 5553846.516535868, 2954698.4636197425, 3332255.3358848304]"
Sel Score: 0.71 RTime: 3259.391,523.6136,3.0,0.07690855871296301,Unclear,"[9885521.794040952, 19205381.62286211, 12437094.985218734, 8248773.830319927, 4904231.815629863, 3450570.978613715]"
Sel Score: 0.71 RTime: 2996.988,451.232,4.0,0.04489570192951162,12ca5,"[19265750.07432337, 27906760.293298297, 16453534.580935197, 12470733.646135243, 7329763.455236142, 5646361.367840183]"
Sel Score: 0.71 RTime: 2259.249,425.7209,4.0,0.2044735089431608,Unclear,"[47595170.262597226, 27404931.60206236, 14015553.042415617, 14548116.864468705, 6845622.545544108, 14215686.360066049]"
Sel Score: 0.71 RTime: 2649.926,491.2563,2.0,0.19535894995360964,Unclear,"[15247295.971083337, 20301702.37342268, 5506159.768089869, 3737333.67814996, 6128214.47767699, 6559635.474199435]"
Sel Score: 0.71 RTime: 1695.671,408.2359,4.0,0.06335623645439004,Unclear,"[14481077.64125136, 14315732.40826833, 13297385.728523659, 8828213.080335598, 6838762.192174025, 1175966.7548612952]"
Sel Score: 0.71 RTime: 2560.278,441.4904,4.0,0.057362953041175134,Unclear,"[24224065.45810799, 24290313.26350044, 13563258.056140607, 9906654.612304825, 9623843.17432316, 5325589.016588553]"
Sel Score: 0.71 RTime: 1275.4,409.7055,2.0,0.033734162309082535,12ca5,"[6303270.648513464, 5727988.447696844, 6770044.676235464, 2167975.4610843603, 4091301.7055494217, 1269583.163500728]"
Sel Score: 0.71 RTime: 1692.396,404.2314,4.0,0.009500727512426829,12ca5,"[13200455.444123337, 10848803.287648987, 9533190.408140486, 4806423.720276324, 5502500.355502301, 3139722.503156282]"
Sel Score: 0.71 RTime: 3345.38,548.6306,3.0,0.05851676472307815,Unclear,"[16475672.88370886, 30145587.53606202, 23397616.57747853, 11351757.253241858, 6755644.325851131, 9934774.70227827]"
Sel Score: 0.71 RTime: 1982.783,513.6094,3.0,0.2289276210340381,Unclear,"[11516363.209069325, 2681617.245217147, 12528305.7576228, 3555289.026111258, 3039892.84386685, 4108552.4854042344]"
Sel Score: 0.71 RTime: 1795.821,437.2492,4.0,0.3337462571706894,Unclear,"[25178242.175109472, 8646100.837262442, 5152309.820825837, 7006313.101732712, 5807416.026518141, 2796588.1534356414]"
Sel Score: 0.71 RTime: 1539.614,404.9751,4.0,0.3768453609025806,Unclear,"[11271593.028571915, 4137835.73306378, 32332456.99789037, 4330324.104664596, 6619106.373455939, 8185729.084374934]"
Sel Score: 0.71 RTime: 2249.914,423.4747,2.0,0.3050115632434808,Unclear,"[11545176.784297582, 50049714.81156092, 18887422.39755543, 16154878.637345444, 9662552.401583547, 6467885.983988338]"
Sel Score: 0.71 RTime: 1955.382,384.9614,2.0,0.3488667460529276,Unclear,"[8011853.566523831, 3874043.133881755, 22599691.8549854, 5931032.265018249, 2770933.9206620716, 5132289.436621012]"
Sel Score: 0.71 RTime: 2189.066,421.7407,4.0,0.33360972581500126,Unclear,"[24260582.69583044, 8374912.347507336, 55623475.07671292, 21500084.34485016, 3412799.632332799, 10493580.056726145]"
