Compound,m/z,z,p value,specificity,areas
Sel Score: 0.96 RTime: 1871.26,510.2795,2.0,0.011551879093204053,12ca5,"[53086999.960395865, 65565378.30188065, 45645153.523793116, 1154676.0102004432, 2616269.0565659716, 2481624.262634929]"
Sel Score: 0.96 RTime: 717.667,425.2413,2.0,0.13615182843592796,Unclear,"[1664289.0311163315, 10966557.793861471, 8329193.69983214, 221303.9248100848, 353900.3249549848, 249558.244733577]"
Sel Score: 0.96 RTime: 4052.078,908.4286,2.0,0.006150000718082151,12ca5,"[49529878.10451659, 45787289.39051524, 37990152.62075654, 1466235.0672990999, 2154230.8303532605, 1732181.6620103463]"
Sel Score: 0.96 RTime: 1637.163,636.3558,3.0,0.06782443557936423,Unclear,"[13500530.24332058, 21728753.025259618, 34736825.40256103, 9802.0, 1680626.0032599773, 1241985.589068371]"
Sel Score: 0.96 RTime: 1675.22,636.356,3.0,0.11592083123794804,Unclear,"[27422802.227494005, 7057169.692935859, 34736832.77134517, 9717.0, 1680628.811136522, 1241980.8389972842]"
Sel Score: 0.96 RTime: 4202.533,735.5648,3.0,0.06324319906975223,Unclear,"[3277590.320683649, 4951471.203935698, 1914254.1224422706, 10079.0, 9930.0, 419099.85578913183]"
Sel Score: 0.96 RTime: 1978.284,510.7797,4.0,0.026340865876665457,12ca5,"[15049408.038726857, 24282701.916735414, 26351645.37222652, 1117324.7734752207, 743057.1821728871, 1004335.7584052971]"
Sel Score: 0.96 RTime: 1244.893,498.5363,4.0,0.007691795445606179,12ca5,"[82116426.04067954, 62828090.23641668, 65026847.150901295, 2498113.894317918, 2433796.447797416, 4360676.872887857]"
Sel Score: 0.96 RTime: 1119.545,400.5463,3.0,0.003479534626303867,12ca5,"[2832183.5431255004, 2191915.539993173, 2464663.4189154124, 192923.33727483958, 147060.26612281773, 10044.0]"
Sel Score: 0.95 RTime: 4169.38,908.9304,2.0,0.003390763708074186,12ca5,"[39506629.46141229, 43666967.506129384, 32512660.942039087, 4353385.695947549, 473167.9569439183, 635000.8360476666]"
Sel Score: 0.95 RTime: 789.727,498.2659,2.0,0.008960717819256232,12ca5,"[8042243.8210326955, 7695858.918674074, 5729532.22225804, 595919.2843234908, 108260.16902383158, 322036.2971081669]"
Sel Score: 0.95 RTime: 825.497,498.2649,4.0,0.00896072236235638,12ca5,"[8042244.829694306, 7695860.080510466, 5729532.269730777, 595919.907645068, 108260.01722084533, 322037.21816613636]"
Sel Score: 0.95 RTime: 4265.08,789.8664,2.0,0.007922136523431293,12ca5,"[15753483.581964495, 11074950.554771142, 12282894.596609727, 9824.0, 1464659.2283574957, 417607.0519389781]"
Sel Score: 0.95 RTime: 1894.113,510.2786,4.0,0.07633283310725092,Unclear,"[64595893.23121685, 51487848.67486772, 21410885.335553873, 1154679.2336929382, 3530605.0547823603, 2481627.789833818]"
Sel Score: 0.95 RTime: 4095.074,908.9296,2.0,0.009539336791371351,12ca5,"[39264140.8591081, 47703883.61105451, 32827132.55125129, 4353384.461556073, 1093790.2309480656, 1291509.3687225839]"
Sel Score: 0.94 RTime: 1675.535,477.7709,2.0,0.04019299979616725,12ca5,"[18897010.702549867, 13842268.286293823, 27157271.765012152, 1378368.565966949, 1093580.031268164, 1163834.7077058027]"
Sel Score: 0.94 RTime: 827.668,417.4901,4.0,0.007842157120481674,12ca5,"[6365200.438561605, 7125831.249259891, 5278278.350226303, 413993.46282445005, 297028.12848528964, 464107.6609806969]"
Sel Score: 0.94 RTime: 1250.13,399.0307,5.0,0.009574335609982238,12ca5,"[15141643.736828506, 10314352.340069393, 12775847.385075202, 1531359.974524691, 640296.94534579, 293373.76702261326]"
Sel Score: 0.93 RTime: 746.26,425.492,4.0,0.13654658335072276,Unclear,"[1797208.3372856083, 11046474.739792388, 10227995.838290771, 561691.9029630517, 783371.8818073272, 289806.4893061286]"
Sel Score: 0.93 RTime: 1601.687,477.7694,4.0,1.0989116727021517e-06,12ca5,"[15724472.702118354, 16148664.298193008, 15413320.4880063, 1378361.461202133, 1228877.751895552, 783465.2971167598]"
