RT consensus,charge,m/z,quality,362-058_12ca5_High_1,362-058_12ca5_High_2,362-058_12ca5_High_3,362-058_WDR5_High_1,362-058_WDR5_High_2,362-058_WDR5_High_3
2252.961518174266,4,430.22857218770764,0.46941104531288147,2267.326438342801,2304.837854397896,2219.4169637593664,2134.992166366595,2253.7264401869534,2337.469245991983
2892.3929041084357,4,418.4704331459246,0.49843528866767883,2955.098586834558,2849.488450689128,2991.859459125153,2793.485583247028,2891.744759117574,2872.6805856371725
3368.5067444173633,2,439.2224146805563,0.5106415152549744,3391.26550824015,3381.144571241529,3397.4494690212505,3359.4305279330565,3328.571875020146,3353.178515048046
2870.2986036813877,4,439.22813122722846,0.5111250877380371,2905.7942263960313,2793.7506388823635,2997.89182029876,2816.787387359903,2873.472668162654,2834.0948809886177
1806.754937741647,2,414.48285415404445,0.5135188698768616,1780.48787148726,1742.2026118396698,1776.986038597839,1722.1776711367459,1837.4130964246046,1981.262336963763
1929.0091568923465,4,434.74038630815016,0.5157924294471741,1922.4016209024574,1882.9449577971093,1931.9339256758465,1990.6091327391937,1869.5414936047412,1976.6238106347303
1531.7440266403783,2,441.9879354825878,0.5397815704345703,1594.354393721005,1460.6722698824656,1551.409619630735,1632.647026203167,1458.2544148750367,1493.1264355298604
1704.0468098535937,2,439.2331674565107,0.5427597165107727,1778.9889259962674,1682.0774894351991,1698.4980009296246,1752.6635425459226,1561.0583950685357,1750.994505146013
1954.2537775746284,2,442.22302143637563,0.5470151901245117,1864.066121504496,2010.6611564759073,1802.8928049475005,2048.1003001378826,2064.955512233227,1934.8467701487561
1594.7132564657134,2,437.2429496894103,0.5484628081321716,1587.1436767215794,1470.894944093776,1703.6169652656358,1662.8982660567342,1585.5269902195878,1558.1986964369667
1807.7330092527045,2,439.9824700700813,0.559569776058197,1747.7970888671666,1867.1430665017397,1776.9734728020262,1811.448015653202,1904.8187973459012,1738.2176143461907
2306.6588531687007,4,419.47842919468593,0.5643548369407654,2200.552869890604,2188.757370402157,2310.817162199717,2361.08054292105,2358.193384771895,2420.551788826778
2036.0154793056506,4,440.98899188024035,0.5673941373825073,1945.0510889418354,1970.2255234792358,2078.9174014690166,2042.8277071588032,2107.705694716194,2071.365460068816
3515.8679771008233,4,447.72371003415213,0.5723838806152344,3647.929034848349,3434.1661636433328,3473.597456352411,3520.2683428999007,3607.6097233735163,3411.637141487431
1628.8617833135638,4,421.23196764463427,0.5777283310890198,1632.2168351690516,1584.6520068542886,1576.1499591611798,1607.0372283433367,1655.829992921441,1717.284677432085
2778.5219819044087,4,411.22460347715145,0.5815688967704773,2761.558056190871,2752.6159310149283,2715.9989337721704,2664.820535307297,2877.120662356633,2899.017772784551
2132.913041353224,2,431.23974601534223,0.5822001099586487,2192.432446288185,2050.120630687614,2136.9422112104953,1987.1695553908494,2193.81967639849,2236.9937281437105
2592.520949903698,2,413.21411517592463,0.5836102962493896,2673.949454701298,2660.15276421142,2499.75033484912,2515.4957285259643,2641.2982601780195,2564.4791569563627
3032.8642689320136,4,435.2317292211744,0.5937925577163696,3180.121931000018,3005.3212441010214,3062.7566493194886,3038.7036938021356,2915.104800531181,2995.177294838238
