Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"EScore: 0.74 RTime: 12.328 Area: 7669543.14120483 All areas: [2607928.7280211, 1583662.9279486677, 3890702.6252074386, 5598240.209948428, 8938225.574201576, 8472163.639464486] p-value: 0.02188582225455321 original RTs: [0, 0, 0, 0, 0, 710.4641320845859]",,(no adduct),554.3997,4.0,3,22
"EScore: 0.74 RTime: 11.822 Area: 7712946.147224895 All areas: [2531817.2181749577, 2303949.244064865, 3416101.9141560732, 5598239.297928358, 9068435.545686387, 8472163.598059937] p-value: 0.033884235324811184 original RTs: [0, 0, 0, 0, 0, 679.7132205377153]",,(no adduct),554.4021,2.0,3,21
"EScore: 0.73 RTime: 23.091 Area: 10854067.925674846 All areas: [3971499.307918336, 5111571.257444788, 3125351.3024042854, 12598024.782855626, 10229801.89274929, 9734377.10141962] p-value: 0.004969649372235204 original RTs: [0, 1377.017607517029, 0, 0, 0, 1373.0181993156841]",,(no adduct),435.4786,4.0,13,33
"EScore: 0.73 RTime: 64.731 Area: 6578737.71526545 All areas: [4000252.4715191205, 1337170.2202042271, 2084123.630648837, 6066427.373524518, 7735531.46985404, 5934254.3024177905] p-value: 0.016725268060645018 original RTs: [0, 0, 0, 0, 0, 3894.4033880756706]",,(no adduct),439.7503,2.0,54,74
"EScore: 0.73 RTime: 18.878 Area: 4705794.044303489 All areas: [1725866.291171792, 695276.1603816195, 2922296.4201677497, 4796004.58377003, 5967238.232153025, 3354139.316987412] p-value: 0.04343952594707888 original RTs: [0, 1083.497098753889, 1092.116548477356, 1293.3043441275058, 0, 0]",,(no adduct),410.7391,2.0,8,28
"EScore: 0.72 RTime: 45.024 Area: 14955894.0231004 All areas: [5990222.432411183, 8398737.074755015, 2872150.710541923, 17973171.054606847, 13379777.755771905, 13514733.258922447] p-value: 0.013969712336222724 original RTs: [0, 0, 0, 0, 2705.7607377686227, 0]",,(no adduct),392.2093,2.0,35,55
"EScore: 0.72 RTime: 58.254 Area: 5999850.574598615 All areas: [3225950.4228178076, 2634405.7911394974, 1132866.4532831642, 5035461.915322234, 6294583.78012318, 6669506.028350432] p-value: 0.011182585936928993 original RTs: [0, 0, 0, 0, 0, 3500.8780106952577]",,(no adduct),469.001,2.0,48,68
"EScore: 0.72 RTime: 62.863 Area: 8365580.374521238 All areas: [4747398.736376287, 1321209.2090560019, 3886370.4855613178, 10292617.833937645, 8118775.322297641, 6685347.967328427] p-value: 0.02641907259222028 original RTs: [0, 0, 3789.188521624454, 0, 0, 0]",,(no adduct),635.6432,3.0,52,72
"EScore: 0.71 RTime: 15.499 Area: 7532085.852697852 All areas: [4790271.285072217, 2489966.232432137, 2114162.2139906017, 6524373.459615624, 9315582.07100614, 6756302.02747179] p-value: 0.02305585512973434 original RTs: [0, 0, 0, 963.3093936297995, 0, 944.6343020998056]",,(no adduct),387.562,2.0,5,25
"EScore: 0.71 RTime: 16.387 Area: 7532085.3928284375 All areas: [4790271.82478198, 2489968.9487810982, 2114160.922872257, 6524373.609044731, 9315581.968341216, 6756300.6010993635] p-value: 0.023055884165862982 original RTs: [0, 0, 0, 0, 957.7439768943383, 0]",,(no adduct),387.5619,3.0,6,26
"EScore: 0.7 RTime: 29.955 Area: 13928241.965505375 All areas: [4969776.835592191, 5992729.715157272, 6794216.723746785, 13519762.68051103, 16755851.089064978, 11509112.126940116] p-value: 0.024598805272007262 original RTs: [0, 1811.9243825024362, 0, 0, 0, 1766.6544949731604]",,(no adduct),338.1864,5.0,19,39
"EScore: 0.7 RTime: 34.002 Area: 25276272.053995725 All areas: [13893238.262809902, 9099411.004721588, 9547522.057196073, 23663458.4262304, 23929272.307872776, 28236085.427884] p-value: 0.0024825359962638662 original RTs: [0, 0, 0, 2107.27893851255, 0, 0]",,(no adduct),440.4993,2.0,24,44
"EScore: 0.69 RTime: 62.309 Area: 9523602.732001899 All areas: [6491665.76448567, 1897338.6560057478, 4477936.047365707, 9421281.867959203, 8589793.914772516, 10559732.413273979] p-value: 0.042752207683502456 original RTs: [0, 0, 0, 3795.000035856427, 0, 0]",,(no adduct),614.9583,3.0,52,72
"EScore: 0.68 RTime: 55.005 Area: 21016462.242932167 All areas: [10442803.178119607, 13541808.169473741, 5027987.459408841, 18304549.165039532, 25976819.414151754, 18768018.149605215] p-value: 0.0320568613700106 original RTs: [0, 3300.280476387082, 0, 0, 0, 0]",,(no adduct),509.2863,3.0,45,65
