Compound,m/z,z,p value,specificity
"EScore: 0.94 RTime: 827.658 Areas: [21436871.168959413, 24140942.65301344, 18861551.384864565, 20959380.437232267, 19729363.21173967, 21509055.869402]",417.4901,4.0,0.010250280222175962,12ca5
"EScore: 0.94 RTime: 1250.125 Areas: [20301739.907095697, 40655943.64972847, 20021489.667485777, 24491750.478913706, 19798955.09311529, 44873614.138713546]",399.0307,5.0,0.008557364107106374,12ca5
"EScore: 0.92 RTime: 916.452 Areas: [60974258.347680256, 41694691.11825696, 25045840.773968026, 47383357.25553936, 35130705.128170714, 48474525.91783296]",458.7214,2.0,0.013109010385963753,12ca5
"EScore: 0.92 RTime: 779.681 Areas: [41308617.67438919, 40702903.79365913, 46005838.52553019, 14571593.942883983, 12749518.399812061, 13569570.758918544]",555.9833,3.0,0.049966142862944325,12ca5
"EScore: 0.91 RTime: 1506.947 Areas: [19526118.76737121, 3801913.5231862585, 12935241.560630808, 4972981.043965409, 5446203.271751524, 5710083.239536881]",384.9388,2.0,0.034438873312992745,12ca5
"EScore: 0.9 RTime: 1341.585 Areas: [28360159.002952304, 26896350.316109158, 20543382.57987154, 24991271.989233192, 14215078.268080037, 20113003.93711816]",382.2165,3.0,0.022188031508884376,12ca5
"EScore: 0.9 RTime: 1301.373 Areas: [54878633.28009628, 71374816.30578905, 47567263.12737527, 9560822.018405225, 17970995.731827587, 38058300.39425877]",470.0255,4.0,0.03601428209295854,12ca5
"EScore: 0.89 RTime: 3943.182 Areas: [25626543.029810343, 39407364.601321444, 101315945.31798069, 24393295.766321097, 30581610.78305009, 76964086.53931579]",941.0307,2.0,0.0014616399558855693,12ca5
"EScore: 0.88 RTime: 1262.216 Areas: [96272424.01745896, 56177543.60937275, 122346562.08571005, 38866341.52920906, 19640343.510438647, 48450809.737900615]",395.1935,2.0,0.01197520434400711,12ca5
"EScore: 0.87 RTime: 1717.661 Areas: [26016806.04661625, 12266625.722111417, 7600084.877066266, 7619581.797738517, 15062258.445145996, 12310553.452699894]",432.7155,4.0,0.016364219192491217,12ca5
"EScore: 0.86 RTime: 2037.081 Areas: [29505336.144385565, 91187348.4609305, 14362094.608807845, 24425621.088296093, 35794732.94847042, 25768009.035682824]",531.6102,3.0,0.0023003406953041663,12ca5
"EScore: 0.85 RTime: 3383.686 Areas: [11642285.237896891, 26212415.846358195, 11315523.118960902, 12525468.02325181, 17968044.51224621, 4953202.24761327]",465.2455,2.0,0.012285105142579451,12ca5
"EScore: 0.85 RTime: 3339.072 Areas: [52681708.51975263, 39846724.18902574, 24069792.18406399, 27718961.538629133, 16391212.012285495, 11523310.66445055]",603.3055,3.0,0.02411461501131036,12ca5
"EScore: 0.84 RTime: 1515.745 Areas: [31479409.240424495, 49254913.65470872, 11091473.730686191, 34349184.388995476, 29065619.10622868, 47776919.560785234]",406.1978,4.0,0.006903823203803463,12ca5
"EScore: 0.83 RTime: 2082.728 Areas: [32484161.07812856, 39425271.055133455, 53981257.06819258, 24787478.058326934, 51895943.42764402, 47442709.22445563]",409.2299,4.0,0.023003596991489822,12ca5
"EScore: 0.83 RTime: 1658.475 Areas: [29237008.996734265, 14166312.567519154, 12730976.465563446, 12086339.875805918, 11982083.882942041, 3460948.4193959846]",415.717,2.0,0.04517107977180889,12ca5
"EScore: 0.83 RTime: 2493.164 Areas: [41932197.36926277, 50647165.46572925, 18331738.84050946, 31772613.255614214, 17987942.8605917, 47834762.04935384]",546.9704,3.0,0.007458288708255484,12ca5
"EScore: 0.83 RTime: 919.435 Areas: [12559904.003239404, 17987393.463835754, 2375951.371325437, 8116470.938954888, 20080736.558179505, 10881160.230577882]",366.9783,5.0,0.0059628531478105136,12ca5
"EScore: 0.82 RTime: 1305.978 Areas: [56400024.53913034, 24935163.420328, 18136318.64555525, 19845066.81023024, 29171702.10695718, 27127202.675259195]",391.9606,2.0,0.020529651680489387,12ca5
"EScore: 0.82 RTime: 2395.284 Areas: [30453057.37664042, 24131534.873122517, 18403830.118865587, 20914410.609779045, 26375771.085460804, 31631110.399945814]",426.9909,4.0,0.026474629358073917,12ca5
"EScore: 0.82 RTime: 2467.594 Areas: [27419078.30028761, 25723568.808577143, 23691118.450362574, 21399402.248177785, 11856187.879702298, 48852861.7474983]",400.2244,4.0,0.04708453862669073,12ca5
"EScore: 0.82 RTime: 1411.932 Areas: [15447468.241103867, 21755950.184640914, 36054689.427949786, 14240843.080201337, 13937787.786910465, 29153775.52504751]",409.9519,4.0,0.0037663895529618605,12ca5
"EScore: 0.82 RTime: 1520.528 Areas: [39419372.51161029, 42525133.69136702, 92515599.65619925, 29094512.241970286, 11918233.478175858, 57042513.59023923]",408.4748,4.0,0.047141340529169136,12ca5
"EScore: 0.82 RTime: 2953.084 Areas: [16390466.13725349, 13412158.799959134, 22465918.53143044, 18729877.483817562, 10020925.576107379, 13933113.52453251]",417.9809,4.0,0.005523536234833152,12ca5
"EScore: 0.82 RTime: 1311.141 Areas: [24393018.92701771, 10657873.269475088, 8682170.445312299, 12998534.077724434, 17570679.72406583, 10838886.152341535]",446.9715,2.0,0.018306064002250415,12ca5
"EScore: 0.81 RTime: 1724.137 Areas: [40219623.970162556, 51591179.13379471, 44646695.23514219, 22617086.13645163, 28371215.444425303, 39007132.23065684]",438.7076,4.0,0.024684114928480532,12ca5
"EScore: 0.81 RTime: 1403.375 Areas: [12896103.458987433, 11447659.30784896, 4618047.5467189215, 5604305.409208425, 7288563.48242952, 3790875.042272972]",439.2079,2.0,0.007499376312452948,12ca5
"EScore: 0.8 RTime: 1757.106 Areas: [110281803.52324069, 81026258.35590374, 34431582.52213392, 41894009.89816519, 15509676.630710421, 22347382.955925196]",438.7072,2.0,0.0074997424304776876,12ca5
"EScore: 0.8 RTime: 1451.658 Areas: [20266852.148658123, 36898959.82978575, 31672066.67467779, 41262482.262829505, 23655907.448091898, 13030482.600408493]",440.242,4.0,0.0004924069549664865,12ca5
"EScore: 0.8 RTime: 2196.522 Areas: [22793952.56214792, 24335541.18552114, 54480591.32606712, 36307828.50138604, 14301333.246604197, 52419365.870730504]",465.4854,4.0,0.013150820420664618,12ca5
"EScore: 0.8 RTime: 1702.697 Areas: [23673420.269834984, 16802928.73157012, 9340399.917269934, 22610889.3819621, 22426122.407161575, 18038100.697939757]",441.7435,4.0,0.002744656709132636,12ca5
"EScore: 0.8 RTime: 2135.327 Areas: [28871693.461797055, 14716707.069994722, 25646496.78295434, 15947252.33900107, 19766441.528644804, 11940611.957559986]",445.7275,4.0,0.00151302170513623,12ca5
"EScore: 0.8 RTime: 2156.511 Areas: [15429221.572563581, 5441785.487001365, 21739630.15146998, 7254900.865120921, 11305944.79165771, 8518437.563653024]",537.6262,3.0,0.039943437429763154,12ca5
"EScore: 0.8 RTime: 2287.747 Areas: [35782845.803358704, 44749295.753735684, 16202523.50595905, 46577583.86923411, 37286944.65076402, 34488922.27950773]",442.7272,2.0,0.03819177563822691,12ca5
"EScore: 0.8 RTime: 2395.107 Areas: [52227444.70676909, 105378146.68318984, 71519807.36237398, 59064612.84108023, 31985973.806967113, 13072773.249892168]",400.222,2.0,0.0010818044858218227,12ca5
"EScore: 0.8 RTime: 1371.786 Areas: [11581188.786353454, 18688949.342280194, 12997257.420526786, 15577452.947566776, 12987653.90872916, 3199410.7383384365]",430.4873,2.0,0.025011446114823928,12ca5
"EScore: 0.8 RTime: 1539.009 Areas: [27245213.161148086, 14828227.6950526, 22342180.97661588, 12362160.504333245, 28538183.7514768, 8478459.882500015]",425.7379,2.0,0.023976719504307863,12ca5
"EScore: 0.79 RTime: 2727.601 Areas: [59822917.949707314, 16383031.892648244, 23010548.42193437, 11804303.92019993, 21004032.052738115, 20303534.87157378]",574.9729,3.0,0.047046264430345326,12ca5
"EScore: 0.79 RTime: 1105.355 Areas: [44244753.2214417, 29134773.15206159, 18265220.365814537, 23800862.7995891, 22274884.654274378, 51253492.83880156]",428.4917,4.0,0.0041777446397836355,12ca5
"EScore: 0.79 RTime: 2388.171 Areas: [79679713.7903852, 132999162.39821048, 14836484.438238217, 18378055.096755814, 20638813.100725666, 15764132.27627934]",404.7128,2.0,0.013333342539563732,12ca5
"EScore: 0.79 RTime: 1601.649 Areas: [40699064.454416096, 55607473.28614582, 62203987.64566821, 71448627.78004697, 26245627.145299792, 52044592.81026644]",435.9777,2.0,0.003786572187070049,12ca5
"EScore: 0.79 RTime: 1619.95 Areas: [11026708.681969462, 7820828.7932185, 18775339.756464947, 14403912.281030431, 7311004.098568283, 10156249.196696347]",442.9727,4.0,0.013126359787360488,12ca5
"EScore: 0.79 RTime: 2953.76 Areas: [85139832.46510656, 44585435.52717255, 50549951.66713134, 24782300.449164987, 34820879.81364933, 29520703.397134133]",528.2761,3.0,0.046915389852937715,12ca5
"EScore: 0.79 RTime: 2395.897 Areas: [52078727.93151448, 30636645.683242846, 33181815.606609184, 10481367.782652656, 16368241.05195355, 24294000.903170004]",453.7257,4.0,0.016171195543603873,12ca5
"EScore: 0.79 RTime: 2486.12 Areas: [9812681.664487153, 4563776.699512169, 2329170.340781293, 2333960.4289319385, 7546741.87349396, 2311771.9090949437]",504.6081,3.0,0.003415798906033044,12ca5
"EScore: 0.79 RTime: 2723.642 Areas: [13630938.333559707, 68231150.42741518, 25759183.91650122, 42653422.5300322, 22122712.917550545, 60016246.815989956]",522.9436,3.0,0.0009355446791299097,12ca5
"EScore: 0.78 RTime: 1331.414 Areas: [22203650.667610016, 17675807.897999797, 25856240.308410104, 15033226.458633529, 9014591.246320747, 8313662.884705744]",408.9756,4.0,0.006564999938907988,12ca5
"EScore: 0.78 RTime: 1650.655 Areas: [29656143.285241134, 32135623.20046082, 25355223.684983805, 19432435.60786313, 21227522.80501871, 39217257.49054092]",403.7238,2.0,0.0024640574788315625,12ca5
"EScore: 0.78 RTime: 2965.452 Areas: [26254087.234617718, 17394038.25202532, 38337295.41094873, 12894508.913451282, 14420364.677516392, 24564296.043273076]",407.9615,2.0,0.017355295789232984,12ca5
"EScore: 0.78 RTime: 1658.823 Areas: [32347311.723106667, 21871253.14731755, 21275304.148508273, 4679295.614023604, 14855531.313252622, 11161059.464562992]",411.9713,2.0,2.7326252487713228e-05,12ca5
"EScore: 0.78 RTime: 3369.255 Areas: [20755764.13490638, 33326009.756174184, 20097405.185674477, 18353167.60241694, 24731262.534047958, 7469783.01415282]",797.9147,2.0,0.013208128553068342,12ca5
"EScore: 0.78 RTime: 1676.929 Areas: [21578563.677831553, 9661021.041424884, 37408189.43633997, 36495246.24941076, 11368028.47374009, 20628395.68975477]",391.9781,2.0,0.01940703898175182,12ca5
"EScore: 0.78 RTime: 1296.945 Areas: [17118858.22801959, 22444121.785939, 13741825.130065257, 28722594.648327284, 17886799.84652885, 15012531.126462033]",391.9611,4.0,0.020094220173126974,12ca5
"EScore: 0.78 RTime: 1912.836 Areas: [56456936.02727588, 10401693.876038816, 17607756.447146237, 25446233.735213473, 13214508.774469541, 22582197.403828193]",423.7262,4.0,0.04099462337841456,12ca5
"EScore: 0.78 RTime: 2860.848 Areas: [31450683.37521322, 21888599.588061914, 13526470.145529702, 26566593.18331554, 8266617.57127124, 13667629.885827512]",399.4709,4.0,0.01630563644343011,12ca5
"EScore: 0.78 RTime: 1201.532 Areas: [15440224.091747781, 69771558.89704095, 45376974.10202442, 12414076.50555119, 16745481.542481435, 27489445.569990903]",424.7147,2.0,0.04187839656395995,12ca5
"EScore: 0.77 RTime: 1697.424 Areas: [27182736.2495388, 27155285.10759466, 39489056.362180814, 29287453.034869704, 53219489.47258212, 40381588.46444603]",415.7184,4.0,0.026446454026461494,12ca5
"EScore: 0.77 RTime: 2810.795 Areas: [54635206.81112802, 50956439.178775504, 72775470.83540927, 43959106.90061881, 27021211.17113938, 35283548.13536626]",553.2999,3.0,0.025584527641997243,12ca5
"EScore: 0.77 RTime: 1654.956 Areas: [20801789.230096765, 12957858.935315244, 16716765.274648676, 29665433.96823261, 12954692.894908847, 5156548.054781215]",462.745,2.0,0.028774040156716394,12ca5
"EScore: 0.77 RTime: 2387.657 Areas: [35769705.56701134, 50989636.48803752, 51243561.674816124, 27752959.973313462, 21151068.94155788, 21483787.168620024]",527.9511,3.0,0.005170406212009365,12ca5
"EScore: 0.77 RTime: 1498.429 Areas: [44812723.59689024, 59278553.316865645, 60196776.71454207, 28701067.675404094, 33262756.805195656, 25141487.25838986]",384.2155,2.0,0.0008239553031104992,12ca5
"EScore: 0.77 RTime: 1420.746 Areas: [19480230.88065579, 61514514.23972733, 58253447.53563778, 23222530.543415353, 26529841.142188843, 27053652.94696017]",416.7328,4.0,0.01442285313871694,12ca5
"EScore: 0.77 RTime: 1528.041 Areas: [72732830.8602517, 95382882.88686469, 33250728.20718287, 81467013.82558917, 23201808.887656126, 26921800.61039735]",427.2223,2.0,0.0010280317651857854,12ca5
"EScore: 0.77 RTime: 3329.723 Areas: [24036638.82003616, 16321379.941441925, 19472990.389833976, 26102687.739370126, 11007587.27321285, 9009549.134815915]",451.7387,2.0,0.021829937573127,12ca5
"EScore: 0.77 RTime: 2283.444 Areas: [20644965.386260826, 30269001.851324923, 26836187.446480934, 62285575.291813865, 17591813.068941116, 27698262.168732025]",377.9679,4.0,0.02761561922257118,12ca5
"EScore: 0.77 RTime: 1378.21 Areas: [24812247.888900783, 22521378.268922277, 17328893.110205583, 9530172.293778516, 9600090.187248752, 4114912.742879719]",439.2073,4.0,0.025067444425771558,12ca5
"EScore: 0.77 RTime: 1537.19 Areas: [46895565.6059575, 29162505.08824345, 46704314.02682887, 51702344.93963023, 20121361.49929234, 17880828.71999432]",445.2385,4.0,0.04604706604587822,12ca5
"EScore: 0.77 RTime: 2534.396 Areas: [10623222.710482305, 10661926.238327416, 8879670.375415878, 13723733.86058924, 18970139.253728446, 28010173.399587866]",436.0003,4.0,0.024611106257020045,12ca5
"EScore: 0.77 RTime: 1326.254 Areas: [36420681.91923862, 39372079.23111356, 7937901.346123371, 9217825.131087905, 21289874.36424772, 13735260.61060744]",447.2219,2.0,0.04698334329801155,12ca5
"EScore: 0.77 RTime: 1545.059 Areas: [24519803.593024895, 15497732.717437826, 8352030.756285148, 12953857.451265508, 22087706.399270236, 6103918.299472285]",393.2326,4.0,0.01593604378263156,12ca5
"EScore: 0.77 RTime: 1654.048 Areas: [34272139.62562727, 80765009.048167, 64076771.6700044, 17807419.637903742, 35321906.59149962, 16127660.54935462]",413.2075,2.0,0.012195053702515389,12ca5
"EScore: 0.77 RTime: 1978.88 Areas: [33809597.92994486, 28908678.849015784, 21400918.538586278, 27676266.13023472, 48337035.70857952, 30599484.123488117]",384.9673,2.0,0.0011401212080607967,12ca5
"EScore: 0.77 RTime: 3063.262 Areas: [34440003.49823146, 24904625.503282815, 20878100.70336765, 13388027.265828932, 38352742.51674175, 9816512.549579052]",439.4943,2.0,0.017177060912122014,12ca5
"EScore: 0.76 RTime: 1503.86 Areas: [19579963.968665965, 22408223.10204643, 19750026.63702028, 11344699.958886558, 18496479.93978401, 6408859.56010205]",403.2063,2.0,0.013274138819648557,12ca5
"EScore: 0.76 RTime: 1528.009 Areas: [28766093.122196123, 28777856.102783654, 7120362.89668881, 36655876.0532493, 22574741.070930485, 20313983.812530458]",457.7472,2.0,0.015249901779247302,12ca5
"EScore: 0.76 RTime: 2166.58 Areas: [69252094.8174288, 25879801.787969053, 39904594.496458955, 54688515.18804437, 43271296.32601047, 22536507.801704578]",372.9672,4.0,0.03818536237976706,12ca5
"EScore: 0.76 RTime: 2234.716 Areas: [47134433.7607752, 23692724.25334095, 18465544.130738363, 30736259.350968614, 7586489.090172023, 7813979.221321625]",529.6267,3.0,0.027449506272203897,12ca5
"EScore: 0.76 RTime: 2392.927 Areas: [14951589.866304308, 3571986.5581848733, 16453398.143092759, 7867759.886544461, 4971330.734955165, 13971146.11575054]",526.6186,3.0,0.04309368196866691,12ca5
"EScore: 0.76 RTime: 1891.483 Areas: [29119354.274495985, 28495257.697023407, 22554249.590068303, 39339049.84845073, 23277675.73829636, 20903822.741522823]",405.7135,2.0,0.04231572977758763,12ca5
"EScore: 0.76 RTime: 1741.338 Areas: [31193465.39108044, 7070847.340079854, 6922163.97636798, 11747677.148866033, 10925338.50888684, 2277250.6165381204]",409.4796,4.0,0.01945097328699447,12ca5
