Compound,m/z,z,p value,specificity,areas
EScore: 0.97 RTime: 781.807,416.9887,4.0,0.06240128837848978,Unclear,"[16665237.87750006, 15589276.602018943, 6362365.256667235, 452690.3046171574, 488675.82089237816, 286425.4420723444]"
EScore: 0.97 RTime: 787.472,416.9887,4.0,0.062401302282177946,Unclear,"[16665238.499502044, 15589274.700054642, 6362365.256667235, 452690.47714149224, 488678.95461937465, 286427.14506908116]"
EScore: 0.97 RTime: 822.273,417.2395,4.0,0.07858949143840714,Unclear,"[16564430.932617104, 14916325.004538188, 5235350.301261367, 411328.91776669805, 285760.99451210414, 478050.07698050234]"
EScore: 0.97 RTime: 4095.074,908.9296,2.0,0.004142700298341293,12ca5,"[74758601.8874423, 71374953.13731202, 58538017.57812536, 4353382.648803142, 1126354.5355542793, 1327062.7554785314]"
EScore: 0.97 RTime: 4052.077,908.4286,2.0,0.006918925282712196,12ca5,"[89685002.47905083, 75375101.4601108, 67607707.13996872, 1557875.901344596, 3823440.6581868413, 2629978.655981709]"
EScore: 0.97 RTime: 4202.533,735.5648,3.0,0.011792172120297002,12ca5,"[3268545.205366552, 5002477.617524911, 3867287.379490005, 1.54882, 1.10093, 425038.4316384162]"
EScore: 0.97 RTime: 4169.38,908.9304,2.0,0.007355512403035405,12ca5,"[74600366.81644957, 72644485.66989148, 55524989.733142294, 4353378.74577439, 1460473.9750591745, 1454527.9170841787]"
EScore: 0.96 RTime: 717.667,425.2413,2.0,0.13619818812482937,Unclear,"[1664287.8896127068, 10966557.562484274, 8329192.824127589, 225435.61775462338, 353901.3922356409, 249557.16520848506]"
EScore: 0.96 RTime: 1244.891,498.5363,4.0,0.007154934523915687,12ca5,"[82485407.4428238, 63929110.00011431, 65496311.34693593, 2523723.989029055, 2433795.09641511, 4340825.358636519]"
EScore: 0.96 RTime: 1601.687,477.7694,4.0,0.019957976380021083,12ca5,"[44350815.47727917, 37668856.00005316, 27193564.068195734, 1405697.8181637847, 2033437.1432247346, 1647235.5170894065]"
EScore: 0.95 RTime: 4265.08,789.8664,2.0,0.011443422728473302,12ca5,"[16659719.727240343, 11294582.42672205, 12463821.246313546, 1.74549, 1464654.3005849994, 443332.1135348728]"
EScore: 0.95 RTime: 789.727,498.2659,2.0,0.0089195463024296,12ca5,"[8042244.422315563, 7695859.853627923, 5729532.603239942, 602126.1907759028, 108260.18637021395, 322039.60684467835]"
EScore: 0.95 RTime: 825.492,498.2649,4.0,0.008919545693309106,12ca5,"[8042244.982210721, 7695860.704212186, 5729533.030570416, 602126.03706241, 108259.6538268268, 322040.71963085496]"
EScore: 0.95 RTime: 1119.545,400.5463,3.0,0.0013988250267675047,12ca5,"[2832183.7093387824, 2293006.6596891857, 2506273.6312024565, 197568.69112501942, 186740.94298273325, 1.9684]"
EScore: 0.95 RTime: 1984.661,510.278,4.0,0.04595595568604052,12ca5,"[116138916.49480368, 81414212.65000992, 54528097.00302628, 1877378.4794163, 5198396.168985371, 5740838.350365661]"
EScore: 0.95 RTime: 1675.535,477.7709,2.0,0.056713549498642865,Unclear,"[44208876.45335381, 19903368.386726122, 27157267.889977265, 1405701.6625976947, 1088241.0158205065, 2146630.4459869997]"
EScore: 0.95 RTime: 1894.113,510.2786,4.0,0.11290630843631462,Unclear,"[116558793.31377433, 114911634.32846971, 26034593.73152387, 1175588.8092429468, 7501417.247067059, 5740838.039159713]"
EScore: 0.94 RTime: 827.658,417.4901,4.0,0.010250280222175962,12ca5,"[7260435.0142362565, 7125831.4174815165, 5278277.716517844, 421725.2334784586, 297028.9402339156, 464107.7435110116]"
EScore: 0.94 RTime: 1250.125,399.0307,5.0,0.008557364107106374,12ca5,"[15034429.80260663, 10419867.469498487, 12893205.681872142, 1531359.3016470268, 754336.708371239, 297226.71279911586]"
EScore: 0.94 RTime: 1871.26,510.2795,2.0,0.057875476926956264,Unclear,"[112083826.87586026, 103761725.5462541, 45645151.4946612, 1175587.892592525, 11052306.772677984, 5740845.491330379]"
EScore: 0.93 RTime: 1203.355,384.3857,5.0,0.09306072402670953,Unclear,"[7690591.194262418, 5100949.442624119, 2332906.7909565526, 172865.76589394198, 332990.2141660997, 553935.091720435]"
EScore: 0.93 RTime: 746.26,425.492,4.0,0.1365466194871396,Unclear,"[1797207.5042562673, 11046477.659435488, 10227991.702535916, 561692.414998401, 783370.6785957792, 289806.7445506146]"
EScore: 0.92 RTime: 916.452,458.7214,2.0,0.013109010385963753,12ca5,"[2483701.133436688, 1786646.9258972856, 1673598.179885091, 330592.7662326017, 105990.65292447797, 90270.95039702744]"
EScore: 0.92 RTime: 779.681,555.9833,3.0,0.049966142862944325,12ca5,"[1679320.2630161105, 2573859.120129527, 1242494.4882077337, 233019.10654971155, 106744.533217815, 157249.27642404157]"
EScore: 0.91 RTime: 1506.947,384.9388,2.0,0.034438873312992745,12ca5,"[11253252.509388827, 8965321.42412014, 5809903.924593663, 596748.2606885753, 1519741.5351859648, 555202.4872003873]"
EScore: 0.9 RTime: 1438.054,442.2169,3.0,0.05730961903182084,Unclear,"[27394626.51254251, 16475026.397957109, 12803927.184668778, 940250.4546306168, 1621650.3365970175, 3588581.892311126]"
EScore: 0.9 RTime: 1341.585,382.2165,3.0,0.022188031508884376,12ca5,"[68627451.17107762, 51243068.30716431, 41598004.20889322, 9372515.766911192, 5402302.061542075, 3496221.784610106]"
EScore: 0.9 RTime: 1301.373,470.0255,4.0,0.03601428209295854,12ca5,"[84572789.3651733, 52349881.672492586, 51436383.21224998, 8532502.544766707, 6677089.412886027, 6553082.933449157]"
EScore: 0.89 RTime: 3943.182,941.0307,2.0,0.0014616399558855693,12ca5,"[23779908.628172524, 19878734.431124747, 20095065.981220864, 3626021.729502277, 1954895.4438813769, 2084788.3908018507]"
EScore: 0.88 RTime: 1262.216,395.1935,2.0,0.01197520434400711,12ca5,"[5143834.124704036, 3764166.416376978, 3846405.474641548, 441041.15832341556, 575950.4529584695, 754571.5472975213]"
EScore: 0.87 RTime: 1717.661,432.7155,4.0,0.016364219192491217,12ca5,"[22027622.406089146, 13806089.721862415, 21374007.366314188, 1260041.291166177, 4599836.624437619, 2768597.3392006624]"
EScore: 0.86 RTime: 2037.081,531.6102,3.0,0.0023003406953041663,12ca5,"[16961285.89789643, 17600879.607175875, 20704300.902179226, 1.63025, 5686382.872651262, 2941265.9301160425]"
EScore: 0.86 RTime: 2104.58,530.2926,3.0,0.16739173165850682,Unclear,"[41709340.54452615, 18272824.07112421, 10418913.114552258, 7254275.233791995, 1.92382, 4415364.517863392]"
EScore: 0.85 RTime: 3383.686,465.2455,2.0,0.012285105142579451,12ca5,"[50290966.076949224, 38898680.57505444, 37743787.97019096, 8075915.590226631, 6869217.025043797, 7054326.568871795]"
EScore: 0.85 RTime: 3339.072,603.3055,3.0,0.02411461501131036,12ca5,"[14069237.022828197, 11630139.843799116, 8277155.481858251, 5965978.164353142, 1.85829, 1.90469]"
EScore: 0.84 RTime: 1515.745,406.1978,4.0,0.006903823203803463,12ca5,"[11642141.273972113, 9428652.152746942, 7912861.339663, 1287626.941431484, 3097815.1353237596, 1192068.538828418]"
EScore: 0.84 RTime: 1760.859,390.9642,2.0,0.17877534268824866,Unclear,"[14000288.553516367, 40791120.32334126, 13421324.837951597, 3412388.244185992, 4966647.631081001, 4778667.222204761]"
EScore: 0.84 RTime: 2038.934,537.304,3.0,0.107585264164476,Unclear,"[27650038.52987, 23899178.957276735, 7893647.153687897, 1429539.8749782625, 7928248.522958156, 2333281.0206076317]"
EScore: 0.83 RTime: 2082.728,409.2299,4.0,0.023003596991489822,12ca5,"[66697720.120516695, 100935685.3746923, 71392243.52731377, 19973680.132977795, 12166857.029907133, 15240892.187136581]"
EScore: 0.83 RTime: 5219.308,648.4476,3.0,0.12344411833445776,Unclear,"[28608339.381885875, 12970148.165986557, 11389499.207317796, 3177901.050664069, 3831816.86652378, 3533771.242955876]"
EScore: 0.83 RTime: 2154.056,451.9931,2.0,0.21667507123141713,Unclear,"[25346357.355378393, 52804830.40608856, 7943499.200976628, 9336688.948098093, 1.07969, 7825675.500829791]"
EScore: 0.83 RTime: 1658.475,415.717,2.0,0.04517107977180889,12ca5,"[26179968.49746874, 24262936.474719185, 13771049.90378712, 5231872.235931019, 4286414.9419990545, 3444833.301405675]"
EScore: 0.83 RTime: 2021.726,393.2114,2.0,0.19721570239398062,Unclear,"[15154471.99701357, 77872673.3578785, 37180196.8495523, 14225852.884836826, 3103124.320634331, 9029333.926253356]"
EScore: 0.83 RTime: 2493.164,546.9704,3.0,0.007458288708255484,12ca5,"[30591461.253770504, 21942904.49156951, 27933667.127706636, 6954287.098761405, 3667325.8685131744, 6099046.213754568]"
EScore: 0.83 RTime: 1579.157,398.2018,2.0,0.07215237183270858,Unclear,"[17387073.127353277, 9263829.22936293, 8415931.269521251, 3246990.295438342, 610736.4305990421, 3456677.908807604]"
EScore: 0.83 RTime: 919.435,366.9783,5.0,0.0059628531478105136,12ca5,"[925977.1100202374, 931222.0107065595, 677635.2124158372, 360585.5445292602, 99148.504400194, 71842.87464846244]"
EScore: 0.83 RTime: 1948.291,405.9902,4.0,0.09834984193097211,Unclear,"[53894674.41957824, 28196554.126082208, 22654577.984886553, 10933786.89595992, 6794360.1522071995, 4419401.19795217]"
EScore: 0.83 RTime: 1089.45,360.4682,4.0,0.11689901401742707,Unclear,"[2373975.9036146794, 1219301.2345670834, 870108.9927258266, 258994.91799341087, 508449.3474121203, 176397.38774496884]"
EScore: 0.82 RTime: 2751.686,444.7555,2.0,0.10476444421411976,Unclear,"[16187536.338612648, 8884413.69960874, 25814515.084035087, 5194788.558000419, 4413571.439052713, 1201724.4972679815]"
EScore: 0.82 RTime: 2175.627,407.2508,2.0,0.24568540887464324,Unclear,"[52871623.9539649, 18391971.803807247, 10115725.718977911, 5544365.059059619, 5769631.184537427, 6248123.471924637]"
EScore: 0.82 RTime: 2564.991,567.9488,3.0,0.06181217486416796,Unclear,"[30140482.926709156, 23698878.60090979, 51224537.189606026, 13729000.393385172, 1.43974, 8986054.186898783]"
EScore: 0.82 RTime: 1305.978,391.9606,2.0,0.020529651680489387,12ca5,"[10678160.967324218, 9461964.916102782, 6058198.021529662, 930800.7027297935, 1272984.567632276, 3461743.5130413054]"
EScore: 0.82 RTime: 2395.284,426.9909,4.0,0.026474629358073917,12ca5,"[82931993.09392044, 47868365.896688454, 67246516.65102436, 20595790.713131476, 13786862.029698087, 8691008.646801388]"
EScore: 0.82 RTime: 2161.962,534.9393,3.0,0.15362794096514987,Unclear,"[51482897.13810835, 14387788.554651015, 26387983.622451965, 10648375.880012577, 6706033.429014714, 2720184.598287522]"
EScore: 0.82 RTime: 2467.594,400.2244,4.0,0.04708453862669073,12ca5,"[74202121.6798608, 42717460.07557572, 83148446.77016361, 10194931.953568913, 17499294.769482903, 15857617.32709666]"
EScore: 0.82 RTime: 1275.888,426.747,2.0,0.10518134134157116,Unclear,"[10840754.791406438, 9538301.53083346, 3618788.5300538195, 2044823.985795987, 1322231.0612919421, 1878170.3781306979]"
EScore: 0.82 RTime: 1411.932,409.9519,4.0,0.0037663895529618605,12ca5,"[10151813.762120804, 9305563.732749226, 7564718.017981855, 1190458.1066779057, 2459245.196122286, 2278680.7252398483]"
EScore: 0.82 RTime: 1520.528,408.4748,4.0,0.047141340529169136,12ca5,"[30061653.062139556, 17613947.457066495, 18147623.369481895, 4250259.433878024, 3785690.365528861, 6441325.417666123]"
EScore: 0.82 RTime: 2953.084,417.9809,4.0,0.005523536234833152,12ca5,"[33547789.77442558, 32258283.071476854, 36480132.1190274, 13097314.64295225, 6457101.382845434, 2988268.699011485]"
EScore: 0.82 RTime: 1519.777,461.2545,2.0,0.18665698491809674,Unclear,"[20331356.737158105, 7286993.930725683, 6389848.569831237, 3514448.114701814, 2657508.928971589, 1323224.9035847543]"
EScore: 0.82 RTime: 1537.658,445.9791,4.0,0.16040714882983467,Unclear,"[27137584.294359595, 6547295.520376143, 15649219.890306834, 2945835.405157321, 5797344.270254345, 2142817.059801574]"
EScore: 0.82 RTime: 1311.141,446.9715,2.0,0.018306064002250415,12ca5,"[6739418.8907518685, 4909523.651155592, 7572249.153337085, 1840211.2473993157, 1180652.0736909662, 1228929.7902433872]"
EScore: 0.82 RTime: 1635.456,430.4759,4.0,0.12606276855021958,Unclear,"[29159304.03641023, 10648041.116990972, 37490784.98163338, 5844673.472705132, 6952130.350737404, 4353288.438312062]"
EScore: 0.82 RTime: 2033.651,444.4819,2.0,0.07879918199070453,Unclear,"[35178408.11676217, 32016338.531321764, 65262614.36022794, 13793365.559955008, 7497835.202090987, 8209710.3228515815]"
EScore: 0.82 RTime: 1202.123,424.7139,4.0,0.051817578920655444,Unclear,"[8042386.389668055, 5888189.916942717, 3748761.8075795686, 590270.4368382415, 1153840.6109236372, 2200139.118176712]"
EScore: 0.82 RTime: 1174.551,429.7402,4.0,0.12706025044878058,Unclear,"[9843933.836110769, 4567513.594819793, 3895565.491649772, 1565503.9157485776, 1552558.0202484345, 1002001.6753511301]"
EScore: 0.82 RTime: 1300.973,417.97,4.0,0.12142822881520014,Unclear,"[18294148.656375293, 7006619.243275034, 9139280.458066707, 2204846.6981253726, 3593125.113931386, 1997418.7122177766]"
EScore: 0.81 RTime: 1724.137,438.7076,4.0,0.024684114928480532,12ca5,"[18455578.02271176, 11983902.39648851, 16972874.888111647, 3500797.333056481, 3583329.4654866206, 3752565.430190392]"
EScore: 0.81 RTime: 1532.2,443.4887,4.0,0.17844507759306244,Unclear,"[34075697.4244963, 17761284.723533206, 7727332.693646693, 2044252.959061637, 8282683.243457978, 3299534.7730212957]"
EScore: 0.81 RTime: 2965.697,412.2304,2.0,0.12048887571839108,Unclear,"[17870208.12787255, 52365209.182798676, 27305633.597270243, 16568795.497917444, 6029593.097149842, 1.8084500000000001]"
EScore: 0.81 RTime: 2941.955,531.9563,3.0,0.18631612970017153,Unclear,"[151906750.37436065, 42133271.209559284, 64742373.87812127, 20845416.227516957, 21272148.227368325, 18004520.842562914]"
EScore: 0.81 RTime: 1603.791,469.2459,2.0,0.13591092685605935,Unclear,"[11156126.409322752, 2985643.9119771323, 10457328.312287707, 2430197.8287909837, 1260391.8994249143, 2062212.708458895]"
