RT consensus,charge,m/z,quality,333-120-12ca5-High1-L-X12K,333-120-12ca5-High2-L-X12K,333-120-12ca5-High3-L-X12K,333-120-BeadsOnly-High1-L-X12K,333-120-BeadsOnly-High2-L-X12K,333-120-BeadsOnly-High3-L-X12K
1874.6861556333727,2,391.9702277857951,0.4551486670970917,1931.405616031896,1969.9167718153553,1752.1094837459902,1858.6800947063603,1738.1642633484025,1997.8407041522335
2010.1803783445896,4,403.72365485550955,0.47435858845710754,1919.0352677578662,2104.219900224872,2038.055670986523,2129.4351316033626,1908.9801734408481,1961.3561260540664
1582.61944025868,2,412.7158446617359,0.49780476093292236,1459.9799861717688,1700.3616700417338,1575.2951677789356,1433.7787736711928,1714.9000592284956,1611.400984659954
2005.1050721339254,4,408.4743462944279,0.5087719559669495,1929.5721608392644,2001.2810749408059,2143.3882231129155,1988.8861311103858,2106.988643245252,1860.5141995549293
1427.8558662308187,2,406.2227625771877,0.5244019627571106,1340.5361064734932,1445.4444370231286,1393.1154182649707,1326.4899989422165,1600.0361720670198,1461.5130646140824
2604.2271729644976,4,434.23371998917537,0.5286215543746948,2574.658890959691,2635.6659811776653,2564.8053445025676,2664.9264367196934,2536.678016675734,2648.628367751635
2393.5476447980436,4,424.9860937826681,0.5300710797309875,2250.5933417364377,2355.838146965265,2479.2264647304123,2488.5246278904597,2481.3629112873446,2305.740376178342
2649.638032718846,4,426.4801196286524,0.5371564030647278,2572.716833125875,2712.5162907382764,2748.1361760524906,2530.5231965184316,2635.41774525032,2698.517954627682
2591.35664815169,4,416.2329477546596,0.5415428280830383,2580.990057829111,2597.8940982819054,2637.0850177588845,2480.5094293530265,2712.061939875005,2539.5993458122057
1871.939095762036,4,398.48172111207754,0.5496320128440857,1720.5867864885408,1974.148200540681,1774.2225751678004,1864.0968745134755,1911.491606356665,1987.0885315050527
1840.131038464976,4,415.97695063365336,0.5542367696762085,1846.1822545893133,1924.9608417277575,1728.6707530379065,1985.2049755832288,1741.4168877811528,1814.3505180704976
2339.2256949185307,4,399.7161993619581,0.5575948357582092,2247.7280571713563,2231.4416114473966,2293.1934745042927,2436.8604190569768,2353.6249148641878,2472.5056924669757
2032.6175813434093,4,421.47804044733135,0.5631079077720642,1930.335899407089,2001.602612284711,2063.0188913937554,1961.438758092644,2107.638967353366,2131.6703595288886
2591.9450027296343,4,441.2342866256234,0.5698814988136292,2436.4294809227617,2671.2841298161693,2570.4780944986073,2601.3385820379704,2717.06530481998,2555.074424282319
3050.6367095751925,3,512.6113919131327,0.5756009817123413,2913.2260556403103,2987.4599856009127,3209.3797178958234,3077.4207162091834,3059.3880113547743,3056.945770750152
2291.7140265317194,2,449.9951796723163,0.5775766968727112,2396.0742418731547,2198.0011949587933,2416.218561209055,2292.814847654061,2259.667090125714,2187.508223369539
1823.996662037018,4,432.23341449005875,0.5857860445976257,1852.5074304188472,1806.834311006048,1873.138623863857,1854.1754234192724,1824.5157906719721,1732.8083928421122
1802.6928970973001,4,404.96753396566055,0.5859427452087402,1775.576893062779,1657.857762922121,1731.5921249856249,1899.8284520301322,1895.9529301221776,1855.3492194609662
2702.420842520272,3,534.6141533248451,0.5878161191940308,2674.8434245450553,2731.787712647815,2636.5362276190986,2754.426816824731,2768.1123009348617,2648.8185725500716
1549.872799466005,2,413.2236396873653,0.5905589461326599,1478.8187019375637,1528.9179173674538,1633.4419264692895,1609.1159835898843,1599.2292922893719,1449.712975142467
2566.028237137272,4,417.23117809573887,0.5966935753822327,2566.9367511380897,2565.4818069661437,2562.536675896653,2603.5133012704237,2663.6024061837,2434.098481368622
2290.4654871428015,4,403.713472738996,0.5979162454605103,2281.3357973026946,2281.958952196185,2155.447996081112,2244.3792732639295,2355.9496574346035,2423.7212465782827
2767.3222689505806,3,546.9592022040405,0.6019221544265747,2686.2312247960444,2780.534917471056,2768.3093684456826,2708.9027438069033,2793.9178866594266,2866.037472524372
