Compound,m/z,z,p value,specificity
"Sel Score: 1.0 RTime: 2879.573 Areas: [269599.0849421517, 411108.9029295896, 567645.9622747318, 1421391.2894454822, 1232101.5502466466, 132449.7205962387]",514.5657,3.0,0.0027898308862453177,12ca5
"Sel Score: 1.0 RTime: 1702.348 Areas: [298615.99170337943, 882674.9955320928, 630859.3310925597, 1096757.8450965884, 638001.8624481678, 504889.6814593944]",545.2576,3.0,0.0038215970066819366,12ca5
"Sel Score: 1.0 RTime: 1843.785 Areas: [1533458.8604608157, 658004.0625043957, 742268.4516433176, 1536953.098746433, 460208.13231117406, 190106.97890313287]",528.5906,3.0,0.0033948107284434213,12ca5
"Sel Score: 1.0 RTime: 3479.916 Areas: [1922958.8648125236, 676792.1923933028, 994587.2978051956, 1465944.0542393634, 97299.98827913603, 656190.4022877503]",779.348,2.0,0.009194317050113804,12ca5
"Sel Score: 1.0 RTime: 2113.089 Areas: [893046.4204105806, 415714.5387049238, 700809.8344933579, 513238.2873207346, 323527.13510958926, 597886.2345464808]",482.8935,3.0,0.014369375599205626,12ca5
"Sel Score: 1.0 RTime: 3890.061 Areas: [265724.5895576019, 166220.78271219923, 229569.89482399105, 522150.0862598334, 730614.7424962216, 561401.9859785512]",790.8685,2.0,0.001185556263449801,12ca5
"Sel Score: 1.0 RTime: 3829.665 Areas: [1850156.6034571154, 767653.1477939518, 390329.0569070499, 627539.7668074038, 810477.6999749715, 387633.85692137526]",790.8713,2.0,0.002562406400158653,12ca5
"Sel Score: 1.0 RTime: 2014.251 Areas: [746644.5521476971, 682518.1511976363, 264113.1820177477, 659165.8152395543, 677125.6170951538, 176036.41744572093]",674.8271,2.0,0.0014749742446292706,12ca5
"Sel Score: 1.0 RTime: 2007.254 Areas: [1040686.2160549702, 728766.768196192, 738567.6194440984, 613700.5897655303, 717832.4551056456, 160459.44124360706]",491.5654,3.0,0.005276936546460344,12ca5
"Sel Score: 1.0 RTime: 3894.054 Areas: [1219932.308515423, 706767.0042759046, 213685.03802263874, 276572.15920818393, 228936.33657018642, 372890.4028496318]",799.8779,2.0,0.0034747610120727506,12ca5
"Sel Score: 1.0 RTime: 3761.353 Areas: [1379745.0797866583, 458328.73217559647, 408829.57910220436, 769377.0620335372, 619715.1625501028, 387491.2807846775]",733.8794,2.0,0.004120095530078619,12ca5
"Sel Score: 1.0 RTime: 3573.656 Areas: [799330.7207239594, 385102.0144572954, 712035.3570703148, 213311.0349497184, 692925.307819814, 316338.7799832884]",779.3522,2.0,0.09161153331362104,12ca5
"Sel Score: 1.0 RTime: 1990.09 Areas: [1352467.1717894888, 357288.319549561, 836653.5122823387, 1063705.834579283, 811779.6142259878, 597342.7868641915]",674.8269,2.0,0.0008469992809110986,12ca5
"Sel Score: 1.0 RTime: 3411.21 Areas: [1355331.8282945452, 176813.60072498617, 129455.90618202687, 127064.3301477696, 450807.60223202896, 362774.2961004967]",755.3478,2.0,0.016494311451351426,12ca5
"Sel Score: 1.0 RTime: 3357.486 Areas: [596880.6883346995, 218652.4425880127, 246090.81050276884, 205343.78733297018, 804923.5472941409, 546636.3172599137]",755.3471,2.0,0.01649432366687298,12ca5
"Sel Score: 1.0 RTime: 3424.947 Areas: [1150208.681036921, 310840.021378502, 1156557.9247781653, 876394.55736099, 179563.91492531818, 370487.48964739154]",755.347,2.0,0.019269731340686335,12ca5
"Sel Score: 1.0 RTime: 3224.978 Areas: [585223.4571029901, 1151277.1274656642, 977266.5333418759, 823544.038804234, 289234.3368347196, 222550.85239734704]",492.8973,3.0,0.008586497308150953,12ca5
"Sel Score: 1.0 RTime: 4095.84 Areas: [1621558.4865466417, 280520.27289500274, 1151769.0781833583, 302601.60094021854, 282035.7062251441, 309927.56311385334]",755.3825,2.0,0.02342811571578833,12ca5
"Sel Score: 1.0 RTime: 4111.974 Areas: [824002.3835238848, 143663.57186110105, 200712.8287823871, 548896.305478173, 422399.8257629017, 151607.45637463595]",755.3822,2.0,0.023428114595387097,12ca5
