Compound,m/z,z,p value,specificity
"Sel Score: 0.98 RTime: 1555.339 Areas: [1152844.068684811, 710508.0768126347, 635702.8696999867, 497494.5077752047, 511159.83611631836, 306441.9541291012]",378.9657,4.0,0.034024211481354566,ACE2
"Sel Score: 0.98 RTime: 1541.184 Areas: [901806.4341174251, 451360.25726365176, 160573.9060330459, 1012398.647386175, 654925.6918041784, 327995.51493082463]",387.9693,2.0,0.12678850596909183,ACE2
"Sel Score: 0.98 RTime: 1298.724 Areas: [1069148.7908920364, 444901.9520368638, 704446.9192198489, 706927.5276920791, 674129.0857771654, 321178.1987335547]",488.2435,3.0,0.0133699834048038,ACE2
"Sel Score: 0.98 RTime: 1483.436 Areas: [1279722.704707261, 1093110.5122698043, 533350.0938719054, 966646.0524340001, 482786.96157313435, 170024.51221726192]",378.717,4.0,0.03514635955124893,ACE2
"Sel Score: 0.98 RTime: 2586.384 Areas: [1152737.3042811868, 1231301.86385124, 600699.3391249052, 2162493.122686454, 1189013.8261109244, 856694.6616954716]",483.596,3.0,0.02319529007464702,ACE2
"Sel Score: 0.98 RTime: 2357.01 Areas: [1856045.1031092193, 757823.1225740795, 910375.0280919771, 515971.15185604984, 182408.25286622558, 698743.6071325153]",476.9168,3.0,0.022186628615644837,ACE2
"Sel Score: 0.98 RTime: 2150.302 Areas: [707356.157906278, 180356.23906477177, 427333.245522039, 891519.5740175981, 1070679.720937453, 998103.7978468596]",583.3046,3.0,0.01060078523990599,ACE2
"Sel Score: 0.98 RTime: 1411.402 Areas: [230480.13424928384, 109784.93819830922, 98568.81173604963, 189550.83933087194, 84790.4970947275, 125652.1385240437]",572.9501,3.0,0.05733572880179613,ACE2
"Sel Score: 0.98 RTime: 2324.304 Areas: [1161201.8716716291, 945673.8765110722, 528443.0939316823, 608863.9040347019, 534113.9016528549, 458307.00752552506]",764.4003,2.0,0.024185084058608843,ACE2
"Sel Score: 0.98 RTime: 3015.07 Areas: [265204.47038738715, 238831.57610360126, 90850.72589063257, 1145351.0747483487, 185786.00306225527, 62564.57312691197]",476.5644,3.0,0.025052782313454224,ACE2
"Sel Score: 0.98 RTime: 1441.775 Areas: [547764.9880124229, 229922.00530676023, 95408.26109914378, 122034.42787099317, 178578.8761078538, 154573.52419862596]",387.9669,2.0,0.12760341298382885,ACE2
"Sel Score: 0.98 RTime: 2951.52 Areas: [241929.0973349629, 286263.2143328434, 197442.24428319963, 271420.9740434659, 401475.138694362, 441435.54327269905]",799.888,2.0,0.02793052622877047,ACE2
"Sel Score: 0.98 RTime: 1258.544 Areas: [521786.2889693133, 412705.7021696996, 966380.3607728317, 127320.86355205826, 2774065.3299763044, 306046.42934618687]",353.4567,4.0,0.12468965168763892,ACE2
"Sel Score: 0.98 RTime: 2995.092 Areas: [725683.8468501959, 796760.8124576866, 525269.6233977536, 607958.2293956106, 1079451.2495523687, 286582.95336957125]",557.323,3.0,0.010484482947860403,ACE2
"Sel Score: 0.97 RTime: 3113.87 Areas: [548094.392855548, 375454.52428617, 815790.0143700842, 398012.69712357875, 449316.6734899083, 223529.14447154014]",585.6605,3.0,0.03009771364790361,ACE2
"Sel Score: 0.97 RTime: 2429.826 Areas: [783224.1578497393, 206545.46114492515, 256631.1336425523, 1051604.2425006733, 645139.135723911, 458628.1646336722]",396.4928,4.0,0.017920093547994616,ACE2
"Sel Score: 0.97 RTime: 2590.59 Areas: [946741.190617732, 909747.0781706009, 496333.46971717954, 2100429.7519963398, 165001.10195246444, 962669.2484228458]",483.5959,3.0,0.023470469601664944,ACE2
"Sel Score: 0.97 RTime: 3406.799 Areas: [789095.745833701, 662980.8771773049, 607170.4788656151, 130771.58737273139, 328666.0636767291, 180293.72913914785]",504.2921,3.0,0.009569742593136525,ACE2
"Sel Score: 0.97 RTime: 3414.208 Areas: [270266.1446802748, 103326.81354995958, 66942.55718084198, 95499.98267155296, 706610.8695048663, 394674.79638284165]",504.2922,3.0,0.009568736094227474,ACE2
"Sel Score: 0.97 RTime: 1522.693 Areas: [1230212.7360751163, 1198850.995944278, 1174867.9627910217, 453275.1871502115, 983374.8987079288, 307147.0663392392]",387.9665,2.0,0.1282678142226932,ACE2
"Sel Score: 0.97 RTime: 3109.537 Areas: [2280974.304421744, 2918611.9359919555, 1801547.015200849, 309058.18080254336, 493146.8936735258, 387333.4308619216]",585.3253,3.0,0.04015512113702622,ACE2
"Sel Score: 0.97 RTime: 1472.807 Areas: [861313.6840738989, 613491.6827338326, 734731.5922717357, 998572.4894170623, 468020.41108031897, 561422.4152088965]",467.2109,4.0,1.8774252722652524e-07,ACE2
"Sel Score: 0.97 RTime: 3162.084 Areas: [1408830.9137429902, 312621.9977176561, 543276.8307877711, 1129544.4217562992, 1130954.5413225892, 790671.9087923879]",781.8812,2.0,0.024174763649051384,ACE2
"Sel Score: 0.97 RTime: 1424.43 Areas: [624268.8111191933, 667331.4651776247, 355002.08803330455, 182254.94232890377, 250308.73500077028, 139025.5394368887]",525.6053,3.0,0.05299260552843949,ACE2
"Sel Score: 0.97 RTime: 2942.355 Areas: [832376.4500407507, 1016432.8697063285, 106626.7610713321, 239075.9836730429, 436303.46617030806, 418867.31882844726]",563.6632,3.0,0.028088060469345314,ACE2
"Sel Score: 0.97 RTime: 2568.209 Areas: [697714.2744233683, 1329316.9102319346, 774036.1853969576, 683722.8992921865, 748722.8574899583, 586133.3795914197]",447.2694,3.0,0.015285754563898937,ACE2
"Sel Score: 0.97 RTime: 3027.235 Areas: [2636600.1064782455, 614602.0766695952, 3095346.473701656, 3053572.3922402803, 1840010.4487514133, 1565757.3951089424]",423.0232,4.0,0.127478710731123,ACE2
"Sel Score: 0.97 RTime: 4330.354 Areas: [867818.3330802772, 879331.3947404245, 808694.4266660109, 668385.843171181, 410388.1024662792, 477625.3814135172]",845.9218,2.0,0.009063842044466306,ACE2
"Sel Score: 0.97 RTime: 2948.725 Areas: [599409.0294181951, 428732.2336565143, 965527.0653652493, 963942.973081074, 655003.6283991128, 353163.381396348]",563.6631,3.0,0.0281407953963025,ACE2
"Sel Score: 0.97 RTime: 4288.579 Areas: [580150.0213229869, 615889.9864182038, 265466.6277978714, 3130199.3693116372, 467762.3155207247, 503854.6954756764]",810.8828,2.0,0.03950641833924092,ACE2
"Sel Score: 0.97 RTime: 2417.464 Areas: [417580.9246136057, 571392.7990836139, 734445.5743149624, 609692.5678841413, 1736979.1256486408, 1490799.1085624225]",527.9875,3.0,0.015023433995673583,ACE2
"Sel Score: 0.97 RTime: 2984.432 Areas: [1027176.018901549, 724312.2807585272, 689727.8602173183, 1304536.0268499174, 288887.0969115729, 100272.58418885092]",449.9136,3.0,0.03412030620464779,ACE2
"Sel Score: 0.97 RTime: 4340.519 Areas: [372547.80185392185, 466376.11579572666, 335612.9721947515, 387236.700509101, 936437.4158582262, 582933.1245622818]",845.9226,2.0,0.009355336581369993,ACE2
"Sel Score: 0.97 RTime: 3420.328 Areas: [662081.001158915, 1529650.5280944817, 901763.8134323182, 783599.8182558493, 471374.3792141026, 512817.1896835498]",504.2922,3.0,0.00967403292154459,ACE2
"Sel Score: 0.97 RTime: 4298.433 Areas: [144796.02568181275, 102260.32417303763, 722991.5893960412, 70936.35198285531, 106896.79364617358, 96631.17603665122]",810.8831,2.0,0.039681140479555274,ACE2
"Sel Score: 0.97 RTime: 2997.664 Areas: [6155563.4865171835, 164798.12361667858, 253907.55814225122, 632121.6424062055, 1752251.3598349795, 189208.51123069262]",432.4426,2.0,0.04444063209748586,ACE2
"Sel Score: 0.97 RTime: 1733.578 Areas: [524296.4782114291, 280806.1951754679, 315048.9570961871, 271806.10081926023, 304987.07933818817, 218857.95450889267]",419.253,2.0,0.065135177019726,ACE2
"Sel Score: 0.97 RTime: 1689.202 Areas: [355735.86428373255, 265645.7816733686, 109684.777815583, 356295.85312428506, 320399.43921817455, 531860.4433155047]",381.4644,2.0,0.08055376960754107,ACE2
"Sel Score: 0.97 RTime: 2998.5 Areas: [920850.3353554885, 685904.5584342428, 902611.033626911, 803152.5652904343, 486989.0965424561, 365076.2396201493]",576.2544,3.0,0.12794975012964468,ACE2
"Sel Score: 0.97 RTime: 3223.921 Areas: [373324.41772548534, 781076.4243304776, 416590.90021050896, 70291.13240641479, 283771.92562499177, 39506.75461122551]",604.2674,3.0,0.02762990321226931,ACE2
"Sel Score: 0.97 RTime: 3235.381 Areas: [1711373.9347793737, 2483150.0337213394, 1340089.378522686, 1371276.0299213012, 602935.8963567163, 238596.91717487562]",604.2675,3.0,0.027631164418095218,ACE2
"Sel Score: 0.97 RTime: 1583.725 Areas: [1238029.5243762427, 1099810.759193286, 420734.7264266427, 1205527.8819876267, 215290.70679611928, 1062305.6072080268]",387.9646,2.0,0.1294835455493045,ACE2
"Sel Score: 0.97 RTime: 3356.275 Areas: [1141258.5699276796, 1280452.6045874152, 281413.1011949191, 867830.2242416271, 304112.44372672477, 511445.3623917659]",601.3256,3.0,0.027620269218246934,ACE2
"Sel Score: 0.97 RTime: 1859.793 Areas: [359116.99554409116, 334012.919833793, 527021.5711475327, 376099.0471050412, 246737.9042579291, 549944.141368178]",371.9493,4.0,0.1279460917240313,ACE2
"Sel Score: 0.97 RTime: 4331.375 Areas: [2266090.7799337683, 1684709.004450413, 1222696.6424954694, 866950.0604930709, 133075.97394628765, 608339.547748858]",847.427,2.0,0.035342014771540343,ACE2
"Sel Score: 0.97 RTime: 2990.346 Areas: [173303.20186464948, 130992.0416153687, 55866.26667945239, 47845.09433980943, 163038.74460614167, 257437.28972069942]",557.3233,3.0,0.010187903123559506,ACE2
"Sel Score: 0.96 RTime: 1129.355 Areas: [1056616.4227203343, 127508.51136216205, 221466.6298307221, 197085.98532983573, 1347600.2316427324, 446735.19934219815]",338.4299,4.0,0.022380588505480442,ACE2
"Sel Score: 0.96 RTime: 3429.058 Areas: [800865.8227178021, 430442.92583010223, 215820.84000939192, 1012749.8741520303, 1039972.3293671355, 282132.4709616937]",594.313,3.0,0.027111726946033057,ACE2
"Sel Score: 0.96 RTime: 1754.494 Areas: [645872.4430273176, 507579.50498919265, 595551.631577332, 697693.4602048099, 206991.2500337917, 372474.0837193259]",419.0025,2.0,0.13221921803864822,ACE2
"Sel Score: 0.96 RTime: 1732.821 Areas: [1350729.3063337232, 1664519.7936628475, 1240626.411161741, 299209.037699641, 213893.03307966655, 110056.79619595906]",419.0022,2.0,0.13221927443004772,ACE2
"Sel Score: 0.96 RTime: 1741.094 Areas: [201562.57863280337, 300279.93549377646, 236640.92514716677, 205102.63376950982, 263072.3719664062, 107618.79432959795]",419.0025,2.0,0.13221931663823566,ACE2
"Sel Score: 0.96 RTime: 1753.109 Areas: [2443645.0546641457, 376795.05269487045, 1385478.124271814, 2199256.799621014, 792051.4319873061, 675292.3991933068]",419.0025,4.0,0.13221938301915223,ACE2
"Sel Score: 0.96 RTime: 2992.506 Areas: [895399.8621129696, 500971.35312286555, 243031.2089347301, 372871.8151361123, 465418.40355853416, 322777.8475866212]",454.577,3.0,0.004068009492863555,ACE2
"Sel Score: 0.96 RTime: 2634.685 Areas: [1859965.4682761577, 650182.0617240152, 329157.5955830645, 1223310.338246275, 301732.25929914694, 859062.3182112982]",551.6537,3.0,0.002704361899963642,ACE2
"Sel Score: 0.96 RTime: 2956.858 Areas: [373389.36720327404, 734394.8738551578, 453305.46269106277, 811262.2875388685, 1245655.9672097128, 254555.0648754275]",397.7219,4.0,0.02625289840387335,ACE2
"Sel Score: 0.96 RTime: 2565.347 Areas: [1564202.7960508312, 791156.3897567607, 1279383.6393693443, 587357.0474597855, 723418.9741692162, 447014.99352050165]",447.2693,3.0,0.015871857657941447,ACE2
"Sel Score: 0.96 RTime: 1657.241 Areas: [695307.8399472892, 114056.65817221244, 318374.36450840597, 1093805.3549933454, 1255403.4961413378, 390764.4274062414]",525.2819,3.0,0.009234924106360108,ACE2
"Sel Score: 0.96 RTime: 3176.99 Areas: [533281.8213227277, 530573.0570397284, 630066.8452671631, 650948.6282119026, 647415.6339193275, 651251.7288240065]",581.9288,3.0,0.010528238865029143,ACE2
"Sel Score: 0.96 RTime: 3679.812 Areas: [1125526.3969918387, 658594.4834021183, 579158.7499421827, 454075.49489149626, 994664.3452268981, 95720.25513398995]",775.3993,2.0,0.036687812251584885,ACE2
"Sel Score: 0.96 RTime: 1776.985 Areas: [837798.807934724, 908326.8137664524, 254381.7459074802, 477313.63042861084, 361331.1260389531, 270882.3234417713]",419.0021,2.0,0.13303715499603022,ACE2
"Sel Score: 0.96 RTime: 3417.153 Areas: [1196647.9069625298, 685003.4205926454, 321142.2814011928, 462068.10141082085, 1397986.9530807582, 1030685.5075241046]",594.3133,3.0,0.027326913845543217,ACE2
"Sel Score: 0.96 RTime: 3000.511 Areas: [587460.6915977731, 1037707.5657920871, 154691.2752738959, 267652.1847739057, 496548.40738998045, 96573.9849453841]",397.7239,2.0,0.026675363054479866,ACE2
"Sel Score: 0.96 RTime: 2981.406 Areas: [341676.2315190359, 1754715.400877112, 663094.2338942486, 671982.8718765544, 710260.6978579215, 339255.6884864699]",397.7263,4.0,0.028314752722196492,ACE2
"Sel Score: 0.96 RTime: 1367.144 Areas: [3581352.5397551544, 3370775.406683472, 3694277.3961958704, 136389.0722829818, 213955.95476603662, 84307.38440131216]",387.9627,2.0,0.13116085232395447,ACE2
"Sel Score: 0.96 RTime: 2584.181 Areas: [505055.0711715448, 446527.15276872646, 421756.06114878727, 915342.800405488, 527429.8449679668, 444301.63972700265]",607.9963,3.0,0.015706809682180772,ACE2
"Sel Score: 0.96 RTime: 4104.47 Areas: [950095.7502555742, 379869.7593991571, 523623.2940846328, 302503.69729122706, 589591.952148786, 177275.20346227457]",425.0055,4.0,0.06386233618799908,ACE2
