RT consensus,charge,m/z,quality,333-120-12ca5-High1-L-X12K,333-120-12ca5-High2-L-X12K,333-120-12ca5-High3-L-X12K,333-120-BeadsOnly-High1-L-X12K,333-120-BeadsOnly-High2-L-X12K,333-120-BeadsOnly-High3-L-X12K
1875.4172093014292,2,391.9702277857951,0.45808157324790955,1931.399025236528,1969.9167717364708,1752.1079273152338,1859.6411705528353,1741.597601259599,1997.8407597079079
2010.872461559442,4,403.72365485550955,0.47605928778648376,1919.0286418078495,2104.2199006811065,2038.0557862089074,2130.2357423368194,1912.338516450627,1961.3561818713424
1583.394224309747,2,412.7158446617359,0.4963124096393585,1459.9720535243005,1700.3616701869962,1575.2953017781217,1434.9916684799614,1718.3436091161384,1611.4010427729634
2005.7965528082275,4,408.4743462944279,0.507175862789154,1929.5655622360405,2001.281077586869,2143.3883315074204,1989.7700396385483,2110.2600532002007,1860.5142526802872
1428.670377068185,2,406.2227625771877,0.5230011940002441,1340.5278430663905,1445.5691020225256,1393.1155593113554,1327.7664793414867,1603.5301515978595,1461.5131270694917
2394.1625226151996,4,424.9860937826681,0.5276040434837341,2250.5876601362515,2355.8381473642976,2479.2265621072224,2489.112423059825,2484.4699108386744,2305.7404321849276
2604.8207393453417,4,434.23371998917537,0.530351459980011,2574.6541308157607,2635.6659803093494,2564.8054385799273,2665.409687819482,2539.7607788186324,2648.628419728899
2650.2376417939495,4,426.4801196286524,0.5395547151565552,2572.7120678260035,2712.5162911223465,2748.1362248155947,2531.08610199072,2638.457157478202,2698.5180075308294
2591.955599818292,4,416.2329477546596,0.5399308204650879,2580.985315890297,2597.8940983443003,2637.0851089607986,2481.1019751951,2715.0677020886574,2539.599398430598
1872.657112037224,4,398.48172111207754,0.5480276942253113,1720.5795951633963,1974.1482009076087,1774.2227011503614,1865.054741436622,1914.8488463472916,1987.0885872180618
2339.855029564342,4,399.7161993619581,0.5550700426101685,2247.722365638379,2231.4416088810963,2293.193579635035,2437.478834327083,2356.788043297762,2472.5057456066993
1840.84959817225,4,415.97695063365336,0.5559386014938354,1846.175421290434,1924.960851984755,1728.670880963201,1986.0910657037587,1744.8487959070283,1814.3505731843227
2033.3117351174126,4,421.4780404473313,0.5615227222442627,1930.3293023756028,2001.6026122304258,2063.019054709655,1962.33893192503,2110.9100926699994,2131.6704167937646
2592.5315992398196,4,441.2342866256235,0.5675285458564758,2436.424327168616,2671.284129935982,2570.47825200746,2601.85951796796,2720.0688855615417,2555.074482797356
3051.1514395989543,3,512.6113919131327,0.5735371112823486,2913.2222591991117,2987.45998551401,3209.3797860027803,3077.659500023024,3062.241286422702,3056.945820432096
2292.364534950455,2,449.9951796723163,0.579247236251831,2396.0689755759413,2198.001194938449,2416.2186599415045,2293.518632441283,2262.8714696177394,2187.508277187813
1803.4085470176117,4,404.96753396566055,0.5830709338188171,1775.5698584045074,1657.8577629127476,1731.592252544633,1900.7651407974258,1899.3169912978947,1855.3492761484626
1550.6387369987299,2,413.2236396873653,0.5833356380462646,1478.8108229598788,1528.9179171189337,1633.442058043084,1610.2249641740314,1602.723625476592,1449.713034219859
2702.988681002847,3,534.6141533248451,0.585545003414154,2674.8389496386717,2731.7877126739445,2636.5363184490784,2754.8570255721315,2771.0934549271674,2648.8186247560884
